url,material_name,Category,Code,Country,Brand,post_text,tags,Sensorial_Glossiness,Sensorial_Translucence,Sensorial_Structure,Sensorial_Texture,Sensorial_Hardness,Sensorial_Temperature,Sensorial_Acoustics,Sensorial_Odour,Technical_Fire Resistance,Technical_UV Resistance,Technical_Weather Resistance,Technical_Scratch Resistance,Technical_Weight,Technical_Chemical Resistance,Technical_Renewable
https://materialdistrict.com/material/2tec2/,2TEC2,Plastics,PLA171,Belgium,Le Tissage d’Arcade,"2TEC2 is a balance between the art of weaving and the performance of new materials. Strength, wear and stain resistancy and colour fastness make this carpet durable. With its subtle texture and its diversity of structure, this carpet looks simple from a distance but the appearance changes under different angles of view. Because 2TEC2 is made out of PVC and glass fibres, it is also applicable in bathrooms, since moisture and temperature does not influence these materials. Cleaning 2TEC2 is efficient, fast and cost-effective, no chemicals are needed. 2TEC2 is 100% recyclable and meets standards for fire resistance, smoke generation and anti slip. Laying is easy because it is lightweight and does not require any additional treatment. 2TEC2 is available as rolls of 200cm width or tiles of 50x50cm.",Plastics,Matte,0%,Closed,Medium,Soft,Warm,Moderate,Moderate,Good,Good,Good,Good,Light,Good,No
https://materialdistrict.com/material/32278/,3D Veneer,Wood,WOO320,Germany,Danzer Deutschland,"To manufacture this 3D veneer, sliced or rotary cut wood veneer is cut into small strips. Danzer’s 3D technology then deep draws the veneer. According to Danzer, this results in a closed surface, with a high degree of stability for the formed mats.

With its 3D veneer, the grain pattern follows the shape of the part. Being a lightweight product, the 3D veneer can be used for flat as well as curved parts.

Danzer also announced the development of 3D inner layers, which further enhance the usability, and stability of the veneer product. Sizes available are a maximum length of 1300 mm (with up to 2100 mm available upon request) and a maximum width of 980 mm. The veneers can be joined together to form wider widths. The ticknesses of this material is 1,15 mm +/- 0,05 mm.

If milled or coated veneer products do not meet your needs, Danzer can process 3D veneer into pressed parts. During production, they use a compression mold that is developed and custom produces for you. Danzer can manage projects turnkey from the first sketch to the industrial realization.","Lightweight, Sense & Sensibility, Wood",Matte,0%,Closed,Smooth,Hard,Warm,Moderate,None,Poor,Moderate,Poor,Moderate,Light,Moderate,Yes
https://materialdistrict.com/material/37-5-technology-cvc-woven/,37.5 technology CVC Woven,Plastics,PLA1232,United States,Cocona Inc.,"These CVC woven textiles are made with with Cocona’s 37.5 technology. This technology helps keep your body at the ideal core temperature of 37.5° Celsius and helps keep the microclimate next to your skin at the ideal relative humidity of 37.5%. When you’re hot, patented active particles embedded in the material remove sweat in the vapour stage before liquid sweat forms, cooling you down. When you’re cold, those same active particles trap your energy to help warm you up.

As far as process details, the technology is not a chemical finish. 37.5 patented, active particles are permanently embedded within the fabric so that it never washes out and the user will see the benefits of our technology for the lifetime of the garment.","Leisure & Hospitality, Smart Materials, Plastics",Matte,0-50%,Open,Medium,Soft,Warm,Moderate,None,Moderate,Good,Good,Good,Light,Moderate,No
https://materialdistrict.com/material/37-5-technology-wpb-laminate/,37.5 technology WPB laminate,Plastics,PLA1239,United States,Cocona Inc.,"These fabrics have been coated with a waterproof breathable (WPB) laminate, meaning water vapour that builds up from your body is able to escape out of the laminate layer. However, this vapour is not able to evaporate through the laminate membrane until humidity reaches 70% underneath the laminate. By adding 37.5 particles to the laminate, the particles are able to attract water vapour at very low concentrations, thus not letting your microclimate rise anywhere near 70% humidity and keeping it around 37.5%.

37.5 Technology helps keep your body at the ideal core temperature of 37.5° Celsius and helps keep the microclimate next to your skin at the ideal relative humidity of 37.5%. When you’re hot, patented active particles embedded in the material remove sweat in the vapor stage before liquid sweat forms, cooling you down. When you’re cold, those same active particles trap your energy to help warm you up.

As far as process details, the technology is not a chemical finish. 37.5 patented, active particles are permanently embedded within the fiber/fabric so that it never washes out and the user will see the benefits of our technology for the lifetime of the garment.","Healing Environment, Leisure & Hospitality, Smart Materials, Plastics",Matte,0-50%,Open,Medium,Soft,Warm,Moderate,None,Moderate,Good,Good,Good,Light,Moderate,No
https://materialdistrict.com/material/3d-bamboo-wall-panels/,3D Bamboo Wall panels,Other naturals,ONA303,Netherlands,3DWalldecor,"Made from bamboo pulp, and have the feel of solid fibreboard. – Original colour: off-white – Paintable with wall paint – Flame retardant, water repellent – Dimensions per panel: L 46 cm x W 46 cm x H 2 cm – Material thickness; 1,5 mm – Weight: 250 – 300 grams per panel – Packaging: 10 panels per box (2,1 m2) – Simple application Available in 4 designs: o Bars o Dunes o Moonscape o Pads

3DWalldecor has had extensive safety testing carried out. The wall panels meet all European standards with regard to; fire safety, water absorption, moisture resistance and expansion rate under various conditions. 3DWalldecor wall panels are easy to apply.",Other naturals,Satin,0%,Open,Medium,Soft,Warm,Moderate,None,Unknown,Good,Moderate,Poor,Light,Moderate,Yes
https://materialdistrict.com/material/3d-biaxial-knitted-fabric/,3D biaxial knitted fabric,Plastics,PLA430,Germany,V. Fraas GmbH,"This 3D Biaxal Knitted structure material has two Self-styled exterior surfaces. These are connected by spacer yarns of different materials and simultaneously kept at a distance. This creates complex textile structures that can be both by flexibility, the other characterized by structural stability. The material offers strain, force absorption and strength in all three dimensions while maintaining a large degree of freedom. The specially designed machines are able to produce the 3D biaxial knitted fabric resulting in sophisticated textile structures for individual applications in high-end resulting composites which require a high load capacity and low weight.",Plastics,Satin,0-50%,Open,Smooth,Hard,Medium,Poor,None,Unknown,Moderate,Good,Moderate,Light,Good,No
https://materialdistrict.com/material/3d-brocade-all-over-lurex/,3D Brocade all-over Lurex,Other naturals,ONA827,France,Dutel,"Brocade is a class of richly decorative shuttle-woven fabrics, often made in coloured silks and with or without gold and silver threads. The name, related to the same root as the word “broccoli”, comes from Italian broccato meaning “embossed cloth”, originally past participle of the verb broccare “to stud, set with nails”, from brocco, “small nail”, from Latin broccus, “projecting, pointed”.

Brocade is typically woven on a draw loom. It is a supplementary weft technique; that is, the ornamental brocading is produced by a supplementary, non-structural, weft in addition to the standard weft that holds the warp threads together. The purpose of this is to give the appearance that the weave was actually embroidered on.","Biobased, Other naturals, fabric, silk, textile",Glossy,0%,Open,Medium,Soft,Warm,Good,None,Poor,Good,Good,Moderate,Light,Moderate,Yes
https://materialdistrict.com/material/3d-composites/,3D Composites,Other naturals,ONA582,United Kingdom,Changing The Face of Composites,"Composites are made for lightweight and strong constructions and are a mix of fibres and resin. Aestetica 3D is a novel way to put colour, texture and depth onto the surfaces in the same manufacturing process.

Carbon is lighter and stronger than glass so where weight needs to be the minimum this is the backing to use with Aestetica. The composite qualities are enhanced with a UV stabiliser in the epoxy resin. Epoxy systems are tough and durable. You can choose the fabric to suit the piece you want to make and the style you wish to achieve. Lacquered finishes mean that matt, gloss and other special finishes can make your item unique.

Composites are used to build aircraft, cars, bridges and boats, and all attention goes to the technical performance.

These composites are also beautiful.

One of the most recent techniques for making composite components is by using prepreg fibre reinforcement, cured under heat and pressure to produce professional quality parts with a high quality surface finish and low resin content. An uncured fibre is easy to handle and can be cut and laid precisely into the moulds making the process ideal for smaller, complex parts. The ease and accuracy with which the material can be templated and cut means that material can be used very efficiently; significantly reducing waste compared to other manufacturing techniques.","Lightweight, Other naturals",Satin,0%,Closed,Smooth,Hard,Warm,Poor,None,Good,Good,Good,Good,Light,Good,No
https://materialdistrict.com/material/3d-core/,3D core,Plastics,PLA1201,Germany,3D|Core GmbH & Co. KG,"3D core are foam bodies with a hexagon or other structures that are connected with small bridges. These bridges are less high than the foam core itself, giving the core a flexibility like a fabric. In the production of the composite parts the structure is filled with resin. The cured resin in the structure and the foam core create a hybrid with excellent technical properties.

The foam is available in XPS Extruded Polystyrene, PET (Polyethylene terephthalate), or PMI NX. The company offers 3 structures to improve the technical properties the flexibility of the core, and the peel of strength of the outer fiber layers of the sandwich structure: hexagon, rhombus, and delta. The material is available in boards, rolls and tapes.","Lightweight, Plastics",Matte,0-50%,Open,Medium,Soft,Warm,Good,None,Moderate,Moderate,Poor,Poor,Light,Moderate,No
https://materialdistrict.com/material/3d-design/,3d-design,Wood,WOO197,Germany,Laser4art,"High quality, durable surfaces with three-dimensional effect, made to customer specifications. Makes surfaces alive. Formed by the combination of our individual laser vacuum technology, plastic graphic relief for the object store and interior design. Depending on the angle and lighting, you see a fascinating three-dimensional structures with light and shadow effect. The material: Single or multilayer films in the latest colors or the look of brushed stainless steel, 3D shaped with MDF. The technology: An insensitive to dirt thermoplastic film is processed in three dimensions to the combination of modern laser technology “and thermoforming processes. The 3-D decorative film is heated, nestled by vacuum around each contour in the surface and is compressed simultaneously with the molding. Material irregularities, such as when they arise cnc machines, laser cutting does not exist. The area is completely clean. Our laser technology can create very delicate items.",Wood,Satin,0%,Open,Coarse,Hard,Medium,Moderate,None,Unknown,Moderate,Poor,Moderate,Heavy,Moderate,Yes
https://materialdistrict.com/material/3d-engineered-sound-barrier/,3D Engineered Sound Barrier,Plastics,PLA1406,Netherlands,Studio Eva x Carola & Material Experience Center,"Noise pollution is one of the biggest health risks in city life. Urban life has an average background noise level of 60 decibels which is the level that raises a persons heart rate and blood pressure, It also causes stress, lack of concentration and loss of sleep. While most of us are able to tune out city noise like traffic and become accustomed to the hum of it in the background, our nervous system is still registering it as a constant disturbance and stress.

As city planners focus on how to improve city life and reduce traffic by introducing more pedestrian paths, bike lanes and green spaces, Eva x Carola looks towards to seeing new creative interior design elements of offices and residential units to provide a safe and quiet place for us to live and work.

With a focus on traditional sound room materials used by music and recording studios, their harmonious geometry inspired many of the three dimensional seamless and circular stitches. Double layered textiles with added volume achieved by tuck and jacquard stitch technology creates lush textiles to absorb and muffle the outside world, inspiring new methods to upholster our softly silent homes.","Acoustic, Sense & Sensibility, Plastics",Matte,0%,Closed,Variable,Resilient,Cool,Good,None,Moderate,Moderate,Moderate,Good,Medium,Good,No
https://materialdistrict.com/material/3d-engraved-glass/,3D Engraved Glass,Glass,GLA153,Netherlands,Si-X,"Each design can be engraved in the glass! 3D engraved glass designs are versatile patterns created through sub-surface laser engraving or SSLE process of engraving an image inside the surface of a glass with a good optical clarity to lessen the distortion of the laser beam. Using this laser technology to engrave inside the glass, it can create a wide range of customised products, varying from large screens to smaller products. The method reproduces true 3D designs in the panels, not just as an effect. When used with (back) lighting, the effect is amazing. The unique design advantages combined with low maintenance and cleaning and no danger of fading by UV or pollution makes glass 3D engraved glass an exciting proposition for custom made products. Available glass colours extra clear, white, green, grey, blue, other colours on request. The glass thicknesses varies from 8 to 25mm and thickness of the layers of the glass Panels van be made in sizes up to 2340 x 4.000mm.",Glass,Glossy,50-100%,Open,Coarse,Hard,Cool,Poor,None,Unknown,Good,Good,Good,Medium,Good,No
https://materialdistrict.com/material/3d-felt-tiles/,3D Felt Tiles,Other naturals,ONA396,Netherlands,Geni-us,"These shapely tiles are made of 100% woollen felt material. The tiles can be applied as a wall covering or as a room divider. The tiles are handmade in Nepal in a fair trade environment.

Due to the three-dimensional shape and the 100% woollen felt, the material has a very high acoustic resistance value and is relatively fire resistant. The producers state that the tiles are also dirt-repellent. Taken together, this makes the tiles suitable for use in a range of interior projects.

The natural fibres can absorb moisture and therefore contribute to a more comfortable interior environment. This also helps to purify air and reduce flammability.

The felt tiles are available in a standard range of 10 colours but all Sikkens colours are possible as well.

Sizes per tile are squares of either 200mm x 200mm or 100mm x 100mm. They are available in batches of 12 pieces.",Other naturals,Matte,0%,Closed,Medium,Soft,Warm,Good,Moderate,Good,Good,Moderate,Poor,Medium,Poor,Yes
https://materialdistrict.com/material/3d-knitted-cc-cubic-acoustic-fabric/,3D knitted CC cubic acoustic fabric,Plastics,PLA1364,Netherlands,Lampe Eurofelt Products,"This fabric is distinguished by its high dimensional stability and optimized sound absorbing qualities. Its geometrical and 3-dimensional structure defines the unique appearance of the fabric. Due to these properties the material has a high acoustic value. It is perfectly suited material to be used on walls or ceiling elements. You can even use it as a flexible room divider.

This material also has a fire protection class B1; that is why it is suitable for use in public spaces to make a healthy workspace without annoying sound reflections or reverberation.","Acoustic, Plastics",Glossy,0-50%,Closed,Medium,Soft,Medium,Good,None,Good,Moderate,Poor,Moderate,Light,Moderate,No
https://materialdistrict.com/material/3d-knitted-jersey/,3D knitted jersey,Plastics,PLA1212,Italy,Maglieria Gina Srl,This dyed polyamide material is 3D knitted and can be used for fancy wear.,"Sense & Sensibility, Plastics, fabrics, textiles",Matte,0-50%,Open,Medium,Soft,Medium,Moderate,None,Moderate,Good,Moderate,Moderate,Medium,Moderate,No
https://materialdistrict.com/material/3d-leveling-cork/,3D Leveling Cork,Other naturals,ONA553,Germany,Wolz Nautic,"3D Leveling Cork delivers not only a prefabricated teak-deck, but also a system solution with a 3D leveling underneath. Decks are measured with millimeter-precise 3D laser trackers, comprising all necessary data to adequately and accurately starts producing the prefabricated deck.

Not only does this method obtain a perfect contour profile and flow, absolute essentials for the production and installation process, it also assures the ability to identically reproduce any component, whenever needed. In short, laser tracking offers a variety of convincing benefits, ranging from accuracy to cost-efficiency and beyond.

Following their success of innovating a 3D leveling cork, its manufacturer Wolz Nautic has gone on to collaborate with the biggest and most exclusive yacht builders in Europe. The manufacturer explain this material has been such a big success because it is a quite simple way of saving approx. 2 – 3 tons of material on a 80 m project, plus achieving high noise reduction results.","Biobased, Lightweight, Other naturals",Matte,0%,Closed,Medium,Resilient,Warm,Good,None,Good,Good,Good,Good,Light,Good,Yes
https://materialdistrict.com/material/3d-metal/,3D Metal,Metals,MET278,Netherlands,3D Metal-Forming,"High Energy Hydroforming (HEH) is the process of forming sheet/thick plate metal using explosive materials. In general, a metal sheet is placed on a die. The die cavity is vacuumed and the assembly is placed in water. An explosive charge is detonated under water pushing the sheet into the die in about 2 milliseconds. HEH offers unique technical opportunities because it can be applied in any shape (double curved) and mass. Sizes range currently up to 8×2 meters or 5×5 meters, with thicknesses from 0.3 mm aluminium to 150 mm stainless steel, for example. Many types of aluminium, titanium, stainless steel, Invar and nickel have been successfully formed by 3D Metal Forming processes.

Every new project starts with FEM simulation of the metal forming process in order to optimize the forming steps. The shape of the blank material can be optimized for any product shape. Sheets can be formed from flat or bent condition, or from a conical or cylindrical shape. Sheets and tubes can be formed in welded condition, even when the welded sheets have different thicknesses. Good results have been achieved in steel (MIG and electrode welding), stainless steel, nickel alloys (laser and TIG welding) and aluminum (TIG and friction stir welding).

The tooling for HEH is relatively simple. One die half is needed without a mating part. Low cost tooling concepts decrease costs further. Prototypes can be delivered quickly. The tooling does not need to be installed in a machine so that production can be started immediately.

3D Metal Forming has vast experience in making parts for the aerospace industry, energy / big science market and for special high end architectural projects. Expensive joining operations can be saved by HEH because complex and large shapes can be formed in one piece. Even larger and more complex shapes can be formed by welding the sheets prior to forming.

The material properties of an HEH formed weld are very good.","Curious, Lightweight, Metals, nickel",Satin,0%,Closed,Coarse,Hard,Cool,Moderate,None,Moderate,Good,Good,Good,Medium,Good,No
https://materialdistrict.com/material/3d-plate/,3D Plate,Metals,MET168,Netherlands,Kabel-Zaandam,"3D Plate is made out of metal sheets. Due to a the technique of hydroforming the metal gets it shape. Hydroforming is a cost-effective way of shaping malleable metals such as aluminum or brass into lightweight, structurally stiff and strong pieces. Hydroforming allows complex shapes with concavities to be formed, which would be difficult or impossible with standard solid die stamping. The aluminum is placed inside a negative mold that has the shape of the desired end result. High pressure hydraulic pistons inject a fluid at very high pressure inside the aluminum which causes it to expand until it matches the mold. 3D Plate can be used for inside and outside and are available in many sizes available upon request.",Metals,Matte,0%,Open,Coarse,Hard,Cool,Poor,None,Good,Good,Good,Good,Medium,Good,No
https://materialdistrict.com/material/3d-print-on-stretch-fabric/,3D print on stretch fabric,,PLA1283,Netherlands,LABELEDBY.,"LABELEDBY. is a research and technological development studio, based in Eindhoven, the Netherlands, focusing on the possibilities of new techniques as 3D printing in combination with textile. By 3D printing on textile, the fabric’s shape becomes permanent.

For Ocean, inspiration from nature leaded towards the form of this sample. LABELEDBY. tried to transform the feeling of ocean residents into a tangible sample. The flow and flexibility of a jellyfish inspired to create a flexible structure, that, at the same time, mimicked the rigid look of coral in the ocean. Using semi hard material in combination with flexible fabric forms an unstationary shape.

The 3D printer was used to print a 2D pattern on flat textile. The stretch in the textile creates the 3D form that pops up after 3D printing.

For generating this 2D pattern, digital mathematical functions were used. Using patterns that are generated through mathematics provide the freedom in the sense of fast adaptability. Due to the digital functions LABELEDBY. can easily generate a lot of different forms. Therefore, it becomes easier to do a lot of testing and sampling in a small amount of time to find the right balance between the stretch of the fabric and the pattern.

Using digital manufacturing techniques and digital functions brings us a step closer towards automation in textile.

The Flat Diamond sample is a part of the studio’s research on how to mimic authentic craftsmanship using digital manufacturing techniques. Using digital manufacturing techniques and digital functions brings us a step closer towards automation in textile. Smocking is a labor-intensive embroidery technique, practiced since the Middle Ages. The technique was used in garments to create flexibility in non-stretchable fabric in necklines and bodices.

LABELEDBY. tried to mimic the feel of this technique by 3D printing directly onto textile. By stretching the tule in the right ratio and 3D print on top of it we created equilibrium in this pop-up smocking sample.

Potential application of this new material is using the repeated structure in acoustic wall panels to regulate reverberation of sound.","Concept, Innovation, 3D printing, additive manufacturing, fabric, textile",Variable,0-50%,Open,Medium,Resilient,Medium,Moderate,None,Unknown,Unknown,Poor,Poor,Light,Moderate,No
