name,url,source,functions,application,notes,model,prompt_tokens,completion_tokens
,https://materialdistrict.com/material/2tec2/,PVC and glass fibres,provide strength; offer wear resistance; ensure stain resistance; allow moisture resistance; facilitate easy cleaning,durable bathroom carpet,External knowledge about carpet applications in moisture-prone areas was used.,gpt-4o-mini,818,78
,https://materialdistrict.com/material/32278/,wood veneer,deep draw-veneer; form-stability; join-veneers; custom produce-parts,curved furniture components,The application of curved furniture components is derived from the description of the material's usability for flat and curved parts.,gpt-4o-mini,886,82
,https://materialdistrict.com/material/37-5-technology-cvc-woven/,textiles,regulate-temperature; manage-humidity; remove-sweat; trap-energy,activewear garments that regulate body temperature,External knowledge about activewear and temperature regulation was used.,gpt-4o-mini,814,70
,https://materialdistrict.com/material/37-5-technology-wpb-laminate/,laminate,attract-water vapour; remove-sweat; trap-energy,waterproof breathable jacket,External knowledge about waterproof breathable fabrics was used.,gpt-4o-mini,912,61
,https://materialdistrict.com/material/3d-bamboo-wall-panels/,bamboo pulp,provide flame retardance; offer water repellence; allow paint application; create aesthetic texture,decorative wall paneling,External knowledge used to define application as a specific use-case for wall panels.,gpt-4o-mini,808,75
,https://materialdistrict.com/material/3d-biaxial-knitted-fabric/,fabric,provide flexibility; offer structural stability; absorb force; maintain strength,high-performance composite structures,External knowledge was used to define the application based on the material's properties.,gpt-4o-mini,766,69
,https://materialdistrict.com/material/3d-brocade-all-over-lurex/,silk,weave-decorative; produce-ornamental; create-embossed,decorative upholstery fabric,External knowledge about brocade fabrics was used to determine the application.,gpt-4o-mini,824,68
,https://materialdistrict.com/material/3d-composites/,composites,create-strong constructions; enhance-durability; reduce-waste; apply-colour and texture,lightweight aircraft components,External knowledge about composite applications in aircraft was used.,gpt-4o-mini,917,72
,https://materialdistrict.com/material/3d-core/,foam,provide-flexibility; improve-strength; create-hybrid,lightweight sandwich panels for structural components,External knowledge about sandwich panel applications was used.,gpt-4o-mini,799,61
,https://materialdistrict.com/material/3d-design/,thermoplastic film,create three-dimensional structures; process with laser technology; form surfaces with vacuum,decorative wall panels with 3D effects,External knowledge about decorative applications of thermoplastic films was used.,gpt-4o-mini,809,72
,https://materialdistrict.com/material/3d-engineered-sound-barrier/,Textiles,absorb-sound; muffle-noise; create-quiet-space,acoustic panels for residential interiors,The application is derived from the focus on creating quiet spaces in urban environments as mentioned in the text.,gpt-4o-mini,880,75
,https://materialdistrict.com/material/3d-engraved-glass/,glass,engrave-image; create-customised-products; reduce-distortion,custom decorative panels with lighting,External knowledge used to define a specific application based on engraving technology.,gpt-4o-mini,843,64
,https://materialdistrict.com/material/3d-felt-tiles/,woollen felt,absorb moisture; reduce flammability; provide acoustic resistance; act as wall covering; serve as room divider,acoustic wall panels,External knowledge about acoustic panels was used.,gpt-4o-mini,844,75
,https://materialdistrict.com/material/3d-knitted-cc-cubic-acoustic-fabric/,acoustic fabric,absorb-sound; provide-fire-protection; divide-rooms,acoustic wall panels,External knowledge about acoustic applications was used.,gpt-4o-mini,761,61
,https://materialdistrict.com/material/3d-knitted-jersey/,polyamide,provide comfort; offer flexibility; enable breathability,fancy wear clothing,External knowledge about clothing applications was used.,gpt-4o-mini,673,56
,https://materialdistrict.com/material/3d-leveling-cork/,cork,reduce-weight; provide-noise-reduction; enable-3D-leveling,prefabricated yacht decking system,The application is derived from the text describing the use of the material in yacht building.,gpt-4o-mini,849,73
,https://materialdistrict.com/material/3d-metal/,metal,form-noun; optimize-noun; save-noun,aerospace structural components,External knowledge about aerospace applications was used.,gpt-4o-mini,1045,59
,https://materialdistrict.com/material/3d-plate/,metal sheets,shape-noun; form-noun; expand-noun,lightweight structural components for automotive bodies,External knowledge on hydroforming applications in automotive design was used.,gpt-4o-mini,776,65
,https://materialdistrict.com/material/3d-print-on-stretch-fabric/,stretch fabric,3D print-textile; create-permanent shape; mimic-rigid look; regulate-reverberation,acoustic wall panels,External knowledge on acoustic panels was used.,gpt-4o-mini,1088,73
,https://materialdistrict.com/material/3d-printed-concrete/,concrete,print-structure; provide-quote; configure-robot,customized architectural structures,External knowledge about 3D printing applications in construction was used.,gpt-4o-mini,695,63
,https://materialdistrict.com/material/3d-printed-earth/,earth,provide-thermal mass; offer-fire resistance; absorb-sound; allow-customization,bioreceptive urban building structures,External knowledge on sustainable building practices was used.,gpt-4o-mini,809,69
,https://materialdistrict.com/material/3d-printed-surface/,flexible material,enhance-structure; provide-rigidity; enable-design-possibilities,front part of a shoe,External knowledge used to identify the application based on common uses of 3D printing in footwear.,gpt-4o-mini,843,75
,https://materialdistrict.com/material/3d-printing-clay-facade-bricks/,clay,minimize shrinkage; enable mortar-free assembly; promote urban biodiversity; contribute to passive cooling,interlocking facade bricks with integrated greenery,External knowledge about facade design and urban ecology was used.,gpt-4o-mini,813,75
,https://materialdistrict.com/material/3d-printing-eggshell-bioceramic/,eggshell bioceramic,reduce-waste; harden-room-temperature; generate-opportunities,building blocks for construction,External knowledge about bioceramics and sustainable building materials was used.,gpt-4o-mini,783,68
,https://materialdistrict.com/material/3d-profile/,Aramid fibers,provide-reinforcement; offer-resistance; enhance-strength; improve-durability,reinforced structural profiles for construction,External knowledge about aramid fibers and their applications in construction was used.,gpt-4o-mini,816,76
,https://materialdistrict.com/material/3d-series/,wood,bend-light; twist-design; flex-structure,decorative wall systems,The application is derived from the text mentioning wall systems as a specific use-case.,gpt-4o-mini,861,64
,https://materialdistrict.com/material/3d-smoke-out/,textile,masking effect; allow smoke escape; enable fire sprinkler access,ceiling system with 3D knitted fabric,External knowledge about ceiling systems and fire safety was used.,gpt-4o-mini,797,67
,https://materialdistrict.com/material/3d-stretch/,Lycra,provide elasticity; enhance durability; create tactile texture,active sportswear and swimwear,External knowledge about Lycra's applications in clothing was used.,gpt-4o-mini,879,64
,https://materialdistrict.com/material/3d-tex-pes-pp-khf/,polyester,control-stability; impregnate-resin; create-core; produce-components,sandwich components for metallic façade systems,External knowledge about sandwich components and their applications was used.,gpt-4o-mini,913,71
,https://materialdistrict.com/material/3d-textile/,Textile,absorb-sound; cover-wall; support-body; provide-relief; stretch-surface,ergonomic mattress system,External knowledge about mattress systems and ergonomic design was used.,gpt-4o-mini,925,72
,https://materialdistrict.com/material/3d-textiles-by-gaetano-rossini/,3D Textiles,create-complex structures; provide-breathability; offer-elasticity; ensure-flame retardancy; resist-abrasion,automotive seat covers,External knowledge about automotive applications was used.,gpt-4o-mini,897,79
,https://materialdistrict.com/material/3d-textiles/,3D Textiles,explore-potential; create-effects; add-interest; provide-appeal,lighting and cushion designs,External knowledge about 3D textiles and their applications in design was used.,gpt-4o-mini,788,73
,https://materialdistrict.com/material/3d-textilles/,felt,absorb-sound; reduce-noise; create-textures; manipulate-light,acoustic textile wall panels,External knowledge on acoustic panels was used to define the application.,gpt-4o-mini,873,70
,https://materialdistrict.com/material/3d-wood/,wood veneer,enhance-properties; provide-flexibility; offer-stain-resistance; maintain-color,flexible wall paneling,Application inferred from the material's flexibility and surface treatments mentioned.,gpt-4o-mini,715,71
,https://materialdistrict.com/material/3mesh/,polyester spacer fabric,allow air circulation; regain original shape; adjust hardness; provide cushioning,air-conditioned automotive seats,The application is explicitly mentioned in the text.,gpt-4o-mini,841,66
,https://materialdistrict.com/material/4-outdoor/,acrylic,water-repellent treatment; stain-resistant fabric; mold-resistant material; light-fast fabric,outdoor furniture upholstery,Application inferred from the material's design for outdoor use and properties mentioned.,gpt-4o-mini,769,75
,https://materialdistrict.com/material/4design-panels/,wood,create-naturallook; provide-wallfinish; enable-flexibleapplication,wall finish with tropical hardwood appearance,External knowledge about wall finishes was used.,gpt-4o-mini,737,62
,https://materialdistrict.com/material/850c-ash-concrete/,bottom ash,reuse-noun; provide-noun; show-noun,terrazzo flooring with recycled materials,"The application of terrazzo flooring is derived from the use of bottom ash as a secondary resource, which is explicitly mentioned in the text.",gpt-4o-mini,842,80
,https://materialdistrict.com/material/abaca/,banana fibers,transform-nature; create-surface; contribute-credits,high-pressure laminate flooring,The application of high-pressure laminate flooring is derived from the description of the material's use.,gpt-4o-mini,719,69
,https://materialdistrict.com/material/abstract-mirror/,Glass,reflective-surface; decorated-tile; create-depth; create-movement,decorative wall tiles for interiors,Used external knowledge about decorative tiles to specify the application.,gpt-4o-mini,748,69
,https://materialdistrict.com/material/accoya/,wood,protects wood from rot; reduces swelling tendency; increases UV resistance; retains strength,exterior wooden structures,External knowledge about wood applications was used.,gpt-4o-mini,815,67
,https://materialdistrict.com/material/accura-bluestone-plastic/,nanocomposite,provide high stiffness; ensure excellent printing accuracy; resist deformation; withstand high humidity; support heavy loads,wind tunnel testing apparatus,The application was derived from the mention of wind tunnel testing in the post text.,gpt-4o-mini,801,81
,https://materialdistrict.com/material/acilux/,float glass,resist-heat; resist-scratching; provide-countertop,kitchen countertops,External knowledge about kitchen design and use of glass in countertops was used.,gpt-4o-mini,737,66
,https://materialdistrict.com/material/acospray/,recycled natural cellulose fibres,optimize durability; enhance fire safety; provide acoustic insulation,seamless acoustic spray plaster for walls and ceilings,External knowledge about acoustic spray plasters was used to determine the application.,gpt-4o-mini,732,74
,https://materialdistrict.com/material/acoustic-baffles/,Wood,absorb-sound; reduce-noise; conduct-sound,acoustic ceiling panels for sound absorption,External knowledge about acoustic solutions was used.,gpt-4o-mini,974,61
,https://materialdistrict.com/material/acoustic-ceiling-spray-on-solutions/,cellulose fibres,absorb sound; create texture; optimize room experience; blend in design; integrate fixtures,acoustic ceiling treatment,Used external knowledge about acoustic treatments and ceiling applications.,gpt-4o-mini,1017,73
,https://materialdistrict.com/material/acoustic-cork-wall-tiles/,cork,softening-sound; creating-patterns; providing-insulation,acoustic wall tiles for soundproofing,External knowledge about soundproofing applications was used.,gpt-4o-mini,857,66
,https://materialdistrict.com/material/acoustic-elements/,wood,reduce-noise; improve-acoustics; customize-finish,acoustic wall panels for interior spaces,External knowledge about acoustic panels was used.,gpt-4o-mini,574,63
,https://materialdistrict.com/material/acoustic-grilles/,Wood,provide-acoustic comfort; conceal-ceiling construction; guide-sound waves; create-warm atmosphere; offer-design freedom,wooden ceiling system with acoustic properties,External knowledge about acoustic solutions was used.,gpt-4o-mini,972,77
,https://materialdistrict.com/material/acoustic-high-performance-sheets/,PET panels,provide-acoustic value; enable-recycling; serve-as-wall covering; act-as-room dividers,acoustic wall panels for sound absorption,External knowledge about acoustic panels was used to define the application.,gpt-4o-mini,787,75
,https://materialdistrict.com/material/acoustic-lightboard-platten/,Wood,absorb-sound; provide-structure; reduce-noise,acoustic furniture doors,The application is explicitly mentioned in the post text.,gpt-4o-mini,768,60
,https://materialdistrict.com/material/acoustic-metal/,aluminium,absorb-sound; let-light-through; resist-fire; resist-water; shape-easily,sound absorbing ceiling panels,External knowledge about sound absorption and ceiling applications was used.,gpt-4o-mini,806,74
,https://materialdistrict.com/material/acoustic-peat-panels/,peat,improve-acoustics; provide-visual-engagement; shape-press; offer-safety,acoustic wall panels,External knowledge about acoustic panels and their functions was used.,gpt-4o-mini,779,70
,https://materialdistrict.com/material/acoustic-reed-elements/,reed,absorb-sound; design-panel; install-easily,acoustic wall and ceiling panels,The application is derived from the description of the acoustic reed elements as suitable for wall and ceiling use.,gpt-4o-mini,793,71
,https://materialdistrict.com/material/acoustic-ribpanel-slim/,PET,absorb-sound; reduce-reverberation; improve-acoustics; provide-design-freedom,sound-absorbing wall panel,External knowledge about PET and acoustic panels was used.,gpt-4o-mini,987,74
,https://materialdistrict.com/material/acoustic-ribpanel/,wooden slats,reduce reverberation; improve acoustics; conduct sound waves; absorb sound,acoustic wall panel for interior design,External knowledge about acoustic panels was used.,gpt-4o-mini,1086,71
,https://materialdistrict.com/material/acoustic-textile-felt/,wool,absorb-sound; replace-acoustic materials; decorate-interiors,acoustic wall panels,External knowledge about acoustic materials and interior design was used.,gpt-4o-mini,743,63
,https://materialdistrict.com/material/acoustic-textile/,wool,absorb-sound; bring-colour; provide-separation,sound-absorbing wall panels,Used external knowledge about acoustic textiles and their applications.,gpt-4o-mini,828,63
,https://materialdistrict.com/material/acoustic-veneered-wood-wall-ceiling-panels/,Wood,reduce-noise; absorb-sound; reflect-sound; diffuse-sound,sound-absorbing wall panels,The application is derived from the description of the panels' acoustic properties and their use in wall installations.,gpt-4o-mini,884,79
,https://materialdistrict.com/material/acoustic-wool-felt-rigid/,wool felt,improve-acoustic properties; provide-aesthetic appeal; meet-technical specifications,acoustic wall panel,External knowledge on acoustic panels was used to define the application.,gpt-4o-mini,1045,67
,https://materialdistrict.com/material/acoustics-3d-full-colour-felt/,felt,absorb-sound; insulate-noise; regulate-reverberation; increase-comfort; resist-impact,acoustic wall coverings for interior spaces,External knowledge about acoustic panels and their applications was used.,gpt-4o-mini,1142,80
,https://materialdistrict.com/material/acrylic-couture/,acrylic,create-depth; achieve-radiant-effects; guarantee-UV-resistance; provide-scratch-resistance; efficient-scatter-light,decorative wall panels with LED lighting,Used external knowledge about acrylic applications in design.,gpt-4o-mini,884,84
,https://materialdistrict.com/material/acrylic-one/,water based resin,achieve natural look; mimic materials; color layer; add structure; suggest metal characteristics; process under many circumstances,decorative wall panels with varied textures,External knowledge about decorative panels was used to define application.,gpt-4o-mini,829,84
,https://materialdistrict.com/material/acrylic/,Acrylic,create-sheets; produce-variations; include-fluorescent paints; offer-transparency,fashion accessories and display stands,External knowledge about acrylic applications in fashion and design was used.,gpt-4o-mini,764,73
,https://materialdistrict.com/material/acrysmart/,acrylic,change-transmittance; regulate-solar energy; save-heating energy; save-cooling energy,intelligent sun protection systems,External knowledge about PMMA properties and applications was used.,gpt-4o-mini,818,74
,https://materialdistrict.com/material/act-wrm/,Wood,control-resonance frequency; vibrate-air; absorb-sound,acoustic panel for sound insulation,External knowledge was used to specify the application as an acoustic panel.,gpt-4o-mini,753,67
,https://materialdistrict.com/material/activ-selfcleaning-glass/,glass,reacts with daylight; breaks down organic dirt; spreads evenly; runs off in a sheet,self-cleaning window panes,The application is derived from the self-cleaning properties described in the post text.,gpt-4o-mini,803,77
,https://materialdistrict.com/material/active-protection-system/,silicone coating,stiffen-high-impact; remain-flexible; respond-changes,protective garment integration,The application of protective garments is explicitly mentioned in the text.,gpt-4o-mini,817,64
,https://materialdistrict.com/material/adamant-textile/,textile,combine-noun; attach-noun; maintain-flexibility,flexible concrete textile panels,External knowledge was used to specify the application as a design solution.,gpt-4o-mini,692,65
,https://materialdistrict.com/material/advantic-syntactic-foam/,syntactic foam,embed microspheres; reduce weight; provide strength; create low density; remove excess resin,aerospace structural core,The application is derived from the mention of aerospace structural cores in the post text.,gpt-4o-mini,866,78
,https://materialdistrict.com/material/aectual-wrap-panel/,recycled beverage carton material,shape panels; customize panel shape; clad walls; achieve bespoke finish,custom wall cladding panels,External knowledge about 3D printing and recycling was used.,gpt-4o-mini,774,73
,https://materialdistrict.com/material/aeras/,polyamide,mimic-nature; provide-warmth; offer-slickness; create-structure,three-dimensional loop-type carpet,External knowledge about carpets and their design was used.,gpt-4o-mini,775,71
,https://materialdistrict.com/material/aeria/,PVC fabric,fire resistant; fluid repellent; sound transparent; easy to clean,acoustic wall panels,Selected application based on the sound transparency and cleaning properties mentioned.,gpt-4o-mini,729,66
,https://materialdistrict.com/material/aerialite/,glass fiber,improve wet-out; reduce air bubbles; increase laminate strength; provide smooth surface,lightweight composite surfboards,External knowledge about surfboards and composite materials was used.,gpt-4o-mini,852,69
,https://materialdistrict.com/material/aerogel/,Aerogel,insulate-buildings; transmit-light; reduce-weight,daylighting units for buildings,External knowledge about aerogel applications was used.,gpt-4o-mini,941,60
,https://materialdistrict.com/material/aestetica/,composites,enhance-colour; provide-strength; reduce-weight; offer-durability; allow-customization,lightweight structural components for vehicles,External knowledge used to specify application based on the context of composites in vehicles.,gpt-4o-mini,897,80
,https://materialdistrict.com/material/aesthetical-ceramics/,Ceramics,realising designs; presenting beauty; providing scratch resistance; offering texture,interior wall tiles with aesthetic finishes,External knowledge about ceramics and their applications in design was used.,gpt-4o-mini,721,72
,https://materialdistrict.com/material/agribiopanel/,biomass,reduce-carbon emissions; provide-acoustic insulation; increase-thermal insulation; enhance-load bearing,partition walls and ceilings in building interiors,External knowledge about building materials and their applications was used.,gpt-4o-mini,922,74
,https://materialdistrict.com/material/agriluma-agrimat/,agrifood waste,compression moulding-light fixtures; compression moulding-decorative elements; compression moulding-furniture pieces,unique lighting fixtures,The application of unique lighting fixtures is explicitly mentioned in the text.,gpt-4o-mini,820,73
,https://materialdistrict.com/material/agt-glow-sand/,photo-luminescent pigment,mix-into concrete; mix-into epoxy; provide-luminosity; enhance-aesthetics,glowing concrete surface sealer,External knowledge about photo-luminescent materials was used.,gpt-4o-mini,804,80
,https://materialdistrict.com/material/aguardian/,polyurethane fabric,eliminate odours; kill micro-organisms; provide fire resistance; offer abrasion resistance,medical device covers,The application is derived from the recommended uses mentioned in the post text.,gpt-4o-mini,879,72
,https://materialdistrict.com/material/airflake/,polymer fiber felt,absorb-sound; create-screen; divide-rooms; mount-walls,modular sound-absorbing room divider,External knowledge about sound-absorbing materials and their applications was used.,gpt-4o-mini,753,76
,https://materialdistrict.com/material/airmaxx/,wood chips,compress-wood; coat-panel; process-material,furniture worktops,Application inferred from the post text mentioning furniture and worktops.,gpt-4o-mini,734,60
,https://materialdistrict.com/material/aisti-teno-acoustic-tile/,wood fibres,absorb-sound; provide-sustainability; ensure-fire-retardancy,suspended ceiling acoustic tiles,External knowledge about acoustic tiles and their functions was used.,gpt-4o-mini,734,66
,https://materialdistrict.com/material/akdolam-lightweight-stone-panels/,natural stone,create installations; cut sheets; laminate materials; offer approach,large format stone wall panels,External knowledge about lightweight stone panel applications was used.,gpt-4o-mini,764,64
,https://materialdistrict.com/material/akzent-panels/,MDF,decorate-walls; create-furniture; create-bars; prevent-bending,3D wall panels for interior decoration,External knowledge used to specify application.,gpt-4o-mini,783,65
,https://materialdistrict.com/material/al100-wall-shield/,polyester,shield-EMI; shield-RF; cut-easily,shielded pouches and wallets,External knowledge on RF and EMI shielding applications was used.,gpt-4o-mini,760,64
,https://materialdistrict.com/material/albeflex/,wood veneer,bend-narrow; provide-translucence; create-flexibility,curved interior wall panels,External knowledge on laminated wood applications was used.,gpt-4o-mini,712,61
,https://materialdistrict.com/material/alchimea-lana/,sheep wool,provide-thermal insulation; offer-sound insulation; bind-air pollutants; convert-pollutants into harmless compounds; protect-against fire,heat and sound insulation in building construction,External knowledge about insulation applications was used.,gpt-4o-mini,861,83
,https://materialdistrict.com/material/alchimia-natural-yarn-dyes-on-milk-fibre/,milk protein,create-colours; develop-dyes; apply-natural,natural dyeing of textiles,External knowledge about dyeing processes was used.,gpt-4o-mini,816,59
,https://materialdistrict.com/material/alesta-powder-coating-finetextured-collection/,powder coating,improve-scratch resistance; hide-imperfections; provide-aesthetics; fulfill-architectural requirements,architectural surface finish,The application is inferred from the context of the material's use in architecture and design.,gpt-4o-mini,770,81
,https://materialdistrict.com/material/algae-based-biopolymer/,Algae-based biopolymer,softens-water; gels-heat; acts-plasticizer; ensures-compostability,biodegradable packaging material,External knowledge on biodegradable materials and packaging applications was used.,gpt-4o-mini,895,76
,https://materialdistrict.com/material/algae-foam/,Algae,mimic-properties; manage-nutrients; balance-ecology; reduce-oil-use,flexible biofoam for cushioning,Used external knowledge about biofoam applications.,gpt-4o-mini,821,69
,https://materialdistrict.com/material/algal-tiles/,kelp algae,absorb-wetness; resist-moisture; provide-aesthetic,interior wall tiles,Application is derived from the description of the product as a tile solution for interior design.,gpt-4o-mini,841,72
,https://materialdistrict.com/material/algorythm/,metal sheets,shape-structures; model-fabrication; maintain-integrity,architectural facades with fluid motion aesthetics,External knowledge about architectural applications of metal sheets was used.,gpt-4o-mini,739,67
,https://materialdistrict.com/material/alicrite-string/,acrylic,create-surface; achieve-colour; provide-decorative-effect,decorative wall cladding panels,External knowledge about acrylic applications in design was used.,gpt-4o-mini,824,66
,https://materialdistrict.com/material/alkemi/,acrylic,provide-surfacing; contain-recycled content; offer-finish options,solid surface countertops,The application of solid surface countertops is derived from the material's properties and intended use as a surfacing alternative.,gpt-4o-mini,724,75
,https://materialdistrict.com/material/alkorol/,PVC film,provide high gloss; enable flat lamination; allow easy cleaning; resist stains; withstand chemicals,laminated furniture elements,External knowledge about furniture production was used.,gpt-4o-mini,785,71
,https://materialdistrict.com/material/all-round-heating/,fabric,control-temperature; heat-surfaces; provide-radiant-heat,thin electrical heating panel for walls and ceilings,External knowledge about radiant heating systems was used.,gpt-4o-mini,914,64
,https://materialdistrict.com/material/allison/,paper,provide strength; offer lightweight; enable printability; allow cutting; support recycling,exhibition stands and shop layouts,Application derived from the description of suitability for exhibition stands and shop layouts.,gpt-4o-mini,844,73
,https://materialdistrict.com/material/allura/,vinyl,provide aesthetics; offer durability; enable installation,luxury vinyl tile flooring,External knowledge about luxury vinyl tiles was used to define the application.,gpt-4o-mini,740,61
,https://materialdistrict.com/material/allure-manhattan/,textile,provide-wall covering; create-seductive look; offer-variety of structures,decorative wall covering,External knowledge about textile wall coverings was used.,gpt-4o-mini,735,63
,https://materialdistrict.com/material/almaxco-composite-panels/,aluminium composite panels,create displays; enhance performance; allow cleaning; achieve printing quality; provide fire resistance,colorful printed signage panels,Used external knowledge to specify application based on common uses of composite panels.,gpt-4o-mini,973,78
,https://materialdistrict.com/material/alouette/,Wood,create-patterns; provide-decor; resist-heat; ensure-durability,kitchen cabinets with continuous structures,External knowledge about furniture design was used to specify the application.,gpt-4o-mini,902,71
,https://materialdistrict.com/material/alpha-gel/,Silicone,provide-cushioning; absorb-shock; damp-vibration; resist-ozone; resist-UV rays; maintain-performance,shock-absorbing padding for protective gear,External knowledge about shock-absorbing materials was used.,gpt-4o-mini,843,91
,https://materialdistrict.com/material/alpha-tacto/,water-borne coating,provide soft-touch effect; achieve cloudy appearance; offer tactile texture; create suede effect; create textile effect,interior wall finish for residential spaces,External knowledge about interior design applications was used.,gpt-4o-mini,718,78
,https://materialdistrict.com/material/alphamesh/,stainless steel,enable flexibility; provide durability; guarantee strength,light projection screen,External knowledge about light projection screens was used.,gpt-4o-mini,733,58
,https://materialdistrict.com/material/alpikord/,wood,join-beauty; offer-resistance; provide-stability; ensure-consistency,high pressure laminate sheets,External knowledge about high pressure laminates was used.,gpt-4o-mini,719,66
,https://materialdistrict.com/material/alpilignum-2/,wood,reproduce-colours; create-designed; process-large-orders,customized wood items,External knowledge about wood applications was used.,gpt-4o-mini,826,57
,https://materialdistrict.com/material/alpilignum-design-collection/,wood,create-pattern; provide-decorative-surface; reduce-formaldehyde-emission,interior decorative veneers for furniture,External knowledge about reconstituted wood applications was used.,gpt-4o-mini,814,67
,https://materialdistrict.com/material/alpolic/,aluminum,provide-strength; reduce-weight; resist-weather; enhance-aesthetics,external building cladding panels,External knowledge about building materials was used to determine the application.,gpt-4o-mini,751,69
,https://materialdistrict.com/material/alrox/,aluminum,provide substrate; allow printing; enable coloring; offer surface finishes,signage and advertisement signboards,External knowledge about aluminum's use in signage was used.,gpt-4o-mini,770,66
,https://materialdistrict.com/material/altuglas-dual-satin/,polymethylmethacrylate,soften-colours; enhance-brightness; reduce-finger-marking; resist-scratch,point of sale display,Application chosen based on explicit mention in the text.,gpt-4o-mini,893,77
,https://materialdistrict.com/material/aluben/,aluminum,support-nonload materials; provide-stiffness; enhance-stability; reduce-weight,structural panel for raised floors,External knowledge about composite panels and their applications was used.,gpt-4o-mini,776,72
,https://materialdistrict.com/material/alucobond/,aluminium composite panel,bonding-core; providing-durability; supporting-ventilation; offering-lightweight-structure; ensuring-fire-performance,rear-ventilated façade systems,External knowledge on architectural applications of aluminium composite panels was used.,gpt-4o-mini,1070,87
,https://materialdistrict.com/material/alulife/,aluminium,maintain-strength; provide-lightweight; offer-personalization,decorative wall panels,"The application is inferred from the material's use in both internal and external spaces, emphasizing its aesthetic qualities.",gpt-4o-mini,720,72
,https://materialdistrict.com/material/alulight/,aluminium,absorb-sound; shield-electromagnetic; isolate-heat; dampen-structure; absorb-impact,acoustical panels for soundproofing,The application was inferred from the material's properties and functions described in the text.,gpt-4o-mini,967,86
,https://materialdistrict.com/material/alumero-diamond-line/,aluminium,extrude-profile; coat-surface; resist-scratch; resist-chemical,kitchen equipment with shiny finish,External knowledge used to specify kitchen equipment as a concrete application.,gpt-4o-mini,826,72
,https://materialdistrict.com/material/aluminium-cladding/,aluminium,simulate-wood; exploit-performance; allow-installation,weatherboard for building facades,External knowledge used to identify the specific application of weatherboard in construction.,gpt-4o-mini,786,66
,https://materialdistrict.com/material/aluminium-foam-glass-sandwich/,Aluminium Foam,damping noise; increasing sound proofing; providing bending stiffness; offering easy cleaning surface,partition wall with optical effects,"The application of a partition wall is derived from the text describing the use of the material for installation, and the optical effects are mentioned as a design feature.",gpt-4o-mini,848,94
,https://materialdistrict.com/material/aluminium-foam-salt/,Aluminium foam,create-porosity; provide-lightweight; offer-temperature-resistance; enable-acoustic-solution,filter system for air or water,External knowledge about filter systems was used.,gpt-4o-mini,790,71
,https://materialdistrict.com/material/aluminium-foam/,Aluminium foam,absorb-energy; create-lightweight; provide-rigidity; resist-impact; enhance-safety,crumple zone for motorcycles,"The application is explicitly mentioned in the text, and the functions are derived from the material properties and intended uses described.",gpt-4o-mini,1338,90
,https://materialdistrict.com/material/aluminium-frame-facade-panels/,Aluminium,provide-nice finish; customise-designs; adapt-cross-sections,prefabricated building facade panels,External knowledge about prefabricated building products was used.,gpt-4o-mini,852,66
