source,functions,application
3D Felt Tiles,absorb moisture; reduce flammability; provide acoustic resistance; act as wall covering; serve as room divider,acoustic wall panels
3D knitted CC cubic acoustic fabric,absorb-sound; provide-fire-protection; divide-rooms,acoustic wall panels
3D knitted jersey,provide comfort; offer flexibility; enable breathability,fancy wear clothing
3D Leveling Cork,reduce-weight; provide-noise-reduction; enable-3D-leveling,prefabricated yacht decking system
3D Metal,form-noun; optimize-noun; save-noun,aerospace structural components
3D Plate,shape-noun; form-noun; expand-noun,lightweight structural components for automotive bodies
3D print on stretch fabric,3D print-textile; create-permanent shape; mimic-rigid look; regulate-reverberation,acoustic wall panels
3D printed concrete,print-structure; provide-quote; configure-robot,customized architectural structures
3D printed Earth,provide-thermal mass; offer-fire resistance; absorb-sound; allow-customization,bioreceptive urban building structures
3D Printed Surface,enhance-structure; provide-rigidity; enable-design-possibilities,front part of a shoe
3D Printing Clay facade bricks,minimize shrinkage; enable mortar-free assembly; promote urban biodiversity; contribute to passive cooling,interlocking facade bricks with integrated greenery
3D Printing Eggshell Bioceramic,reduce-waste; harden-room-temperature; generate-opportunities,building blocks for construction
3D Profile,provide-reinforcement; offer-resistance; enhance-strength; improve-durability,reinforced structural profiles for construction
3D Series,bend-light; twist-design; flex-structure,decorative wall systems
3D Smoke Out,masking effect; allow smoke escape; enable fire sprinkler access,ceiling system with 3D knitted fabric
3D stretch,provide elasticity; enhance durability; create tactile texture,active sportswear and swimwear
3D-Tex PES / PP KHF,control-stability; impregnate-resin; create-core; produce-components,sandwich components for metallic façade systems
3D Textile,absorb-sound; cover-wall; support-body; provide-relief; stretch-surface,ergonomic mattress system
3D Textiles by Gaetano Rossini,create-complex structures; provide-breathability; offer-elasticity; ensure-flame retardancy; resist-abrasion,automotive seat covers
3D Textiles,explore-potential; create-effects; add-interest; provide-appeal,lighting and cushion designs
3D Textilles,absorb-sound; reduce-noise; create-textures; manipulate-light,acoustic textile wall panels
3D wood,enhance-properties; provide-flexibility; offer-stain-resistance; maintain-color,flexible wall paneling
3mesh,allow air circulation; regain original shape; adjust hardness; provide cushioning,air-conditioned automotive seats
4 Outdoor,water-repellent treatment; stain-resistant fabric; mold-resistant material; light-fast fabric,outdoor furniture upholstery
4Design panels,create-naturallook; provide-wallfinish; enable-flexibleapplication,wall finish with tropical hardwood appearance
850°C Ash concrete,reuse-noun; provide-noun; show-noun,terrazzo flooring with recycled materials
Abacá,transform-nature; create-surface; contribute-credits,high-pressure laminate flooring
Abstract Mirror,reflective-surface; decorated-tile; create-depth; create-movement,decorative wall tiles for interiors
Accoya,protects wood from rot; reduces swelling tendency; increases UV resistance; retains strength,exterior wooden structures
Accura Bluestone Plastic,provide high stiffness; ensure excellent printing accuracy; resist deformation; withstand high humidity; support heavy loads,wind tunnel testing apparatus
Acilux,resist-heat; resist-scratching; provide-countertop,kitchen countertops
Acospray,optimize durability; enhance fire safety; provide acoustic insulation,seamless acoustic spray plaster for walls and ceilings
Acoustic-Baffles,absorb-sound; reduce-noise; conduct-sound,acoustic ceiling panels for sound absorption
Acoustic Ceiling Spray-on Solutions,absorb sound; create texture; optimize room experience; blend in design; integrate fixtures,acoustic ceiling treatment
Acoustic cork wall tiles,softening-sound; creating-patterns; providing-insulation,acoustic wall tiles for soundproofing
Acoustic elements,reduce-noise; improve-acoustics; customize-finish,acoustic wall panels for interior spaces
Acoustic-Grilles,provide-acoustic comfort; conceal-ceiling construction; guide-sound waves; create-warm atmosphere; offer-design freedom,wooden ceiling system with acoustic properties
Acoustic high performance sheets,provide-acoustic value; enable-recycling; serve-as-wall covering; act-as-room dividers,acoustic wall panels for sound absorption
Acoustic-Lightboard Platten,absorb-sound; provide-structure; reduce-noise,acoustic furniture doors
Acoustic metal,absorb-sound; let-light-through; resist-fire; resist-water; shape-easily,sound absorbing ceiling panels
Acoustic peat panels,improve-acoustics; provide-visual-engagement; shape-press; offer-safety,acoustic wall panels
Acoustic reed elements,absorb-sound; design-panel; install-easily,acoustic wall and ceiling panels
Acoustic-RibPanel Slim,absorb-sound; reduce-reverberation; improve-acoustics; provide-design-freedom,sound-absorbing wall panel
Acoustic-RibPanel,reduce reverberation; improve acoustics; conduct sound waves; absorb sound,acoustic wall panel for interior design
Acoustic textile felt,absorb-sound; replace-acoustic materials; decorate-interiors,acoustic wall panels
Acoustic Textile,absorb-sound; bring-colour; provide-separation,sound-absorbing wall panels
Acoustic Veneered Wood Wall & Ceiling Panels,reduce-noise; absorb-sound; reflect-sound; diffuse-sound,sound-absorbing wall panels
Acoustic Wool Felt Rigid,improve-acoustic properties; provide-aesthetic appeal; meet-technical specifications,acoustic wall panel
Acoustics 3D full colour felt,absorb-sound; insulate-noise; regulate-reverberation; increase-comfort; resist-impact,acoustic wall coverings for interior spaces
Acrylic Couture,create-depth; achieve-radiant-effects; guarantee-UV-resistance; provide-scratch-resistance; efficient-scatter-light,decorative wall panels with LED lighting
Acrylic One,achieve natural look; mimic materials; color layer; add structure; suggest metal characteristics; process under many circumstances,decorative wall panels with varied textures
Acrylic,create-sheets; produce-variations; include-fluorescent paints; offer-transparency,fashion accessories and display stands
Acrysmart,change-transmittance; regulate-solar energy; save-heating energy; save-cooling energy,intelligent sun protection systems
ACT WRM,control-resonance frequency; vibrate-air; absorb-sound,acoustic panel for sound insulation
Activ selfcleaning glass,reacts with daylight; breaks down organic dirt; spreads evenly; runs off in a sheet,self-cleaning window panes
Active Protection System,stiffen-high-impact; remain-flexible; respond-changes,protective garment integration
Adamant Textile,combine-noun; attach-noun; maintain-flexibility,flexible concrete textile panels
Advantic Syntactic Foam,embed microspheres; reduce weight; provide strength; create low density; remove excess resin,aerospace structural core
Aectual Wrap Panel,shape panels; customize panel shape; clad walls; achieve bespoke finish,custom wall cladding panels
Aeras,mimic-nature; provide-warmth; offer-slickness; create-structure,three-dimensional loop-type carpet
Aeria,fire resistant; fluid repellent; sound transparent; easy to clean,acoustic wall panels
Aerialite,improve wet-out; reduce air bubbles; increase laminate strength; provide smooth surface,lightweight composite surfboards
Aerogel,insulate-buildings; transmit-light; reduce-weight,daylighting units for buildings
Aestetica composites,enhance-colour; provide-strength; reduce-weight; offer-durability; allow-customization,lightweight structural components for vehicles
Aesthetical Ceramics,realising designs; presenting beauty; providing scratch resistance; offering texture,interior wall tiles with aesthetic finishes
Agribiopanel,reduce-carbon emissions; provide-acoustic insulation; increase-thermal insulation; enhance-load bearing,partition walls and ceilings in building interiors
Agriluma (Agrimat),compression moulding-light fixtures; compression moulding-decorative elements; compression moulding-furniture pieces,unique lighting fixtures
AGT Glow Sand,mix-into concrete; mix-into epoxy; provide-luminosity; enhance-aesthetics,glowing concrete surface sealer
AgUARDIAN,eliminate odours; kill micro-organisms; provide fire resistance; offer abrasion resistance,medical device covers
Airflake,absorb-sound; create-screen; divide-rooms; mount-walls,modular sound-absorbing room divider
AirMaxx,compress-wood; coat-panel; process-material,furniture worktops
Aisti® Teno acoustic tile,absorb-sound; provide-sustainability; ensure-fire-retardancy,suspended ceiling acoustic tiles
Akdolam lightweight stone panels,create installations; cut sheets; laminate materials; offer approach,large format stone wall panels
Akzent panels,decorate-walls; create-furniture; create-bars; prevent-bending,3D wall panels for interior decoration
AL100 wall shield,shield-EMI; shield-RF; cut-easily,shielded pouches and wallets
Albeflex,bend-narrow; provide-translucence; create-flexibility,curved interior wall panels
Alchimea lana,provide-thermal insulation; offer-sound insulation; bind-air pollutants; convert-pollutants into harmless compounds; protect-against fire,heat and sound insulation in building construction
ALCHIMIA – Natural Yarn dyes on Milk fibre,create-colours; develop-dyes; apply-natural,natural dyeing of textiles
Alesta Powder Coating – The Finetextured Collection,improve-scratch resistance; hide-imperfections; provide-aesthetics; fulfill-architectural requirements,architectural surface finish
Algae-based biopolymer,softens-water; gels-heat; acts-plasticizer; ensures-compostability,biodegradable packaging material
Algae foam,mimic-properties; manage-nutrients; balance-ecology; reduce-oil-use,flexible biofoam for cushioning
Algal Tiles,absorb-wetness; resist-moisture; provide-aesthetic,interior wall tiles
AlgoRythm,shape-structures; model-fabrication; maintain-integrity,architectural facades with fluid motion aesthetics
Alicrite String,create-surface; achieve-colour; provide-decorative-effect,decorative wall cladding panels
ALKEMI-acrylic,provide-surfacing; contain-recycled content; offer-finish options,solid surface countertops
Alkorfol,provide high gloss; enable flat lamination; allow easy cleaning; resist stains; withstand chemicals,laminated furniture elements
All-round heating,control-temperature; heat-surfaces; provide-radiant-heat,thin electrical heating panel for walls and ceilings
Allison,provide strength; offer lightweight; enable printability; allow cutting; support recycling,exhibition stands and shop layouts
Allura,provide aesthetics; offer durability; enable installation,luxury vinyl tile flooring
Allure & Manhattan,provide-wall covering; create-seductive look; offer-variety of structures,decorative wall covering
Almaxco Composite Panels,create displays; enhance performance; allow cleaning; achieve printing quality; provide fire resistance,colorful printed signage panels
Alouette,create-patterns; provide-decor; resist-heat; ensure-durability,kitchen cabinets with continuous structures
Alpha Gel,provide-cushioning; absorb-shock; damp-vibration; resist-ozone; resist-UV rays; maintain-performance,shock-absorbing padding for protective gear
Alpha Tacto,provide soft-touch effect; achieve cloudy appearance; offer tactile texture; create suede effect; create textile effect,interior wall finish for residential spaces
Alphamesh,enable flexibility; provide durability; guarantee strength,light projection screen
Alpikord,join-beauty; offer-resistance; provide-stability; ensure-consistency,high pressure laminate sheets
ALPIlignum,reproduce-colours; create-designed; process-large-orders,customized wood items
Alpilignum – Design Collection,create-pattern; provide-decorative-surface; reduce-formaldehyde-emission,interior decorative veneers for furniture
Alpolic,provide-strength; reduce-weight; resist-weather; enhance-aesthetics,external building cladding panels
Alrox,provide substrate; allow printing; enable coloring; offer surface finishes,signage and advertisement signboards
Altuglas Dual Satin,soften-colours; enhance-brightness; reduce-finger-marking; resist-scratch,point of sale display
Aluben,support-nonload materials; provide-stiffness; enhance-stability; reduce-weight,structural panel for raised floors
ALUCOBOND®,bonding-core; providing-durability; supporting-ventilation; offering-lightweight-structure; ensuring-fire-performance,rear-ventilated façade systems
Alulife,maintain-strength; provide-lightweight; offer-personalization,decorative wall panels
Alulight,absorb-sound; shield-electromagnetic; isolate-heat; dampen-structure; absorb-impact,acoustical panels for soundproofing
Alumero Diamond Line,extrude-profile; coat-surface; resist-scratch; resist-chemical,kitchen equipment with shiny finish
Aluminium Cladding,simulate-wood; exploit-performance; allow-installation,weatherboard for building facades
Aluminium Foam Glass Sandwich,damping noise; increasing sound proofing; providing bending stiffness; offering easy cleaning surface,partition wall with optical effects
Aluminium foam with salt,create-porosity; provide-lightweight; offer-temperature-resistance; enable-acoustic-solution,filter system for air or water
Aluminium foam,absorb-energy; create-lightweight; provide-rigidity; resist-impact; enhance-safety,crumple zone for motorcycles
Aluminium frame facade panels,provide-nice finish; customise-designs; adapt-cross-sections,prefabricated building facade panels
Aluminium full colour,decorate-noun; personalise-noun; resist-scratch; resist-UV; resist-weather,decorative wall panels
Aluminium mesh,absorb-energy; create-pores; reduce-weight,open-celled metal foam panels
Aluminium wall panels,provide lightweight panels; enable custom designs; resist weather conditions; allow easy attachment,decorative wall cladding panels
Aluminium Surface Collections,create-finish; add-texture; combine-pattern; manipulate-surface; layer-color,decorative architectural panels
aluminium tile,create-tile; innovative-designs; fabricate-accessories,luxurious metal tile installation
AluOldCopper,provide aesthetic; offer stability; resist corrosion; eliminate maintenance,architectural facade finish
Alusion Large & Small Cells,absorb-sound; create-panels; resist-corrosion; maintain-lightweight,acoustic wall cladding panels
Alveo Products,provide elasticity; offer temperature resistance; enable vacuum forming; ensure flame retardancy; deliver electrical conductivity,soft foam padding for automotive interiors
Amadou,provide-tactile experience; serve-soothing sensation; resemble-animal leather; contain-no harmful binders; be-renewable,soft leather-like material for garments
Amber Waste is Bliss,transform-into new material; create-usable products; analyze-properties; alter-properties; change-colours,interior panels and tiles
Ambient Glow Technology,illuminate-non-toxic; apply-various methods,decorative flooring for pools and spas
Amphitex™,mitigate-carbon emissions; reduce-chemical treatments; provide-waterproof breathability,recyclable waterproof breathable fabric for outdoor clothing
ampliTex powerRibs,improve-damping properties; increase-flexural rigidity; enhance-buckling resistance,thin layered composite structures
An-Jing Paper,provide durability; offer aesthetic appeal; resist moth damage,handmade decorative writing paper
Andeline Recycled Leather,maintain-aesthetics; resist-chemicals; perform-abrasion,table tops and kitchen cabinets
Andy,resist-scratching; resist-UV; resist-weather; resist-chemicals; resist-frost; provide-finishing,renovation of floors and walls
ANEMONIA,visualize-growth; emphasize-qualities; reveal-colour,decorative wall panel
Animal & Leather Print Tiles,create-reliefs; provide-colours; enhance-designs,decorative tiles for hotel lobbies
Another Down & Another Down recycled,create-garments; provide-thermal insulation; offer-comfort,warm knitted jackets and coats
Antibacterial surfaces,prevent bacteria; create hygienic spaces; provide antibacterial property,high pressure laminates for countertops
Antico,improve-stability; enhance-aesthetics; provide-durability,wide plank flooring for modern interiors
Antimicrobial Copper: Brass,kill-bacteria; provide-hygiene; enhance-aesthetics,door handles and work surfaces
Antimicrobial Copper: Bronze,kill-bacteria; enhance-hygiene; provide-protection,door handles and light switches
Antimicrobial Copper,minimize bacterial levels; kill bacteria; resist corrosion; exhibit strength; allow shaping,antimicrobial door hardware
Antiqued mirror and gilded glass,create-finish; replicate-degradation; blend-mirror; achieve-look,decorative mirror panel inset into joinery
Antislip tiles,resist-slip; resist-wear; resist-frost; resist-chemical; resist-staining,slip-resistant flooring in wet rooms
Antolini,ensure-strength; consolidate-resin; reinforce-slab; fill-micro porosities,structural slabs for countertops
ANVI Luxury Surfaces,combine-nature; cast-layer; create-designs,decorative surface panels
ANVI Solitaire,fuse-crystals; process-marble; set-crystals,luxurious tabletops with embedded crystals
Apex,insulate-thermal; weigh-light; resist-weather,lightweight thermal insulation for outerwear
Apparition translucent leather,provide softness; offer translucency; ensure water resistance,translucent garments and footwear
Apple pomace films,transform-non-toxic alternative; offer-compostable option; replace-leather,biodegradable plant pots
Aquaclean,reduce-cleaning; minimize-pollution; enhance-durability; simplify-maintenance,self-cleaning window surface
Aquarius,suspend-color; create-accent; install-tile,decorative wall and floor tiling
Aquatecture Water Harvesting Panel,collect-water; harvest-rainwater; integrate-building-feature,rainwater harvesting panel for building façades
Aquatic plant paper,provide-oxygen; reuse-waste; trim-plant,sustainable paper sheets
ARA-LT laser film,transfer-PVD layer; apply-marking; provide-coating,high-quality surface marking on ceramics
Arboform,enable-design; process-thermoplastic; mould-injection,injection moulded wood products
ArboSkin,protect-noun; recycle-verb; form-verb; process-verb,thermoformed building components
ArcBiox BGF30-A1 and ArcBiox A17,reinforce-composite; replace-polyamide; modify-impact,injection moulded components
Arce’s 3D Tiles,create-novel designs; provide-high gloss; offer-translucence; enable-customization,decorative interior tiles
Archi Folds,create-space; divide-space; adapt-acoustic; adapt-heat; adapt-light,folded architectural screens
Archi+ Tadelakt,replicate-finish; ensure-workability,indoor decorative plaster finish
ARCHISONIC® Cotton,absorb-sound; reduce-waste; add-aesthetic; recycle-materials,acoustic wall tiles for sound absorption
ARCHISONIC® Felt,absorb-sound; upcycle-material; provide-flexibility; meet-requirements,acoustic wall panels for soundproofing
ARCHISONIC® Textile,promote-sustainability; create-acoustic curtains; enhance-design scheme; integrate-into applications,acoustic curtains for room separation
Architectural Glass Surfaces,create-surface; provide-aesthetic; resist-scratch; allow-customization,countertops and architectural installations
Architectural Glass,adapt design; create aesthetic solutions; produce security glass,elevations and shop doors
Architectural mesh,create-mesh; reflect-light; weave-patterns,architectural facade cladding
Architectural Metals,altering-surface; casting-patterns; cutting-panels,custom metal architectural panels
Architectural sheets,provide strength; offer durability; enhance aesthetics; ensure low maintenance,interior wall cladding panels
Architectural Titanium,resist-corrosion; restore-oxide film; reduce-weight; permit-fabrication; provide-durability; offer-variety of finishes,facade cladding for buildings
Architextile,create-wall covering; provide-acoustic performance; serve-as dividing screen; act-as autonomous interior object,high-tech acoustic wall covering
Ardomix,incorporate-pebbles; cast-resin; provide-smooth surface; reinforce-aesthetic appearance; allow-cutting,backlit wall tiles for decoration
Arfinio®,enable seamless surfaces; create complex shapes; provide lightweight materials; offer non-slip properties; ensure easy cleaning; allow customization,shower plates and wash basins
Ariel 4311,provide-fireproof; offer-colourful; enable-upholstery; allow-decoration,luxury upholstery textile
Armourcast,create-cast designs; reduce-surface absorbency; provide-resistance against dirt,three-dimensional stone-like panels
AROMA AQ,incorporate-naturals; compound-stability; screen-printing-textiles; provide-aroma,scented ink for textile printing
Arpex EPE,provide-cushioning; offer-versatility,floor underlayment
ARPRO P-EPP,provide impact resistance; offer fire retardancy; resist moisture; allow easy cleaning,washable wall panels for humid environments
Arpro,provide-acoustical performance; resist-fire; resist-water; allow-painting; enable-lightweight construction,acoustical ceiling and wall panels
Arrigado,create-partition; provide-lighting; serve-as-art-wall,textured dividing wall
Arstyl,provide insulation; create decorative surfaces; allow customization,3D wall decoration panels
Art Ferro,provide gloss; mimic metal texture; apply seamlessly,interior wall and ceiling finish
Art Intervention,create-tile; support-interiors; invite-collaboration,carpet tile collection for office spaces
Art on Tiles,bake-tile; print-pattern; handcraft-tile,decorative wall tiles with custom motifs
Art panel,provide aesthetic; create personalized designs; facilitate assembly; offer weather resistance,customized wall cladding panels
Artile,apply-image; encapsulate-design; resist-fade; resist-UV,photographic swimming pool tiles
Artos,provide-novel appearance; resist-corrosion; form-design; cover-wall elements; flexible-structure,suspended ceiling and wall coverings
Artstone,resemble-natural stone; eliminate-painting; resist-UV; resist-water; withstand-temperature changes,exterior wall panels
Asian Canvas,reflect-light; design-interior; coat-wall,textured wall coating for interior design
Astrale,create-texture; enhance-aesthetics; resist-scratch,decorative wall tiles
Atelier Barb Bio Series,create-non-edible parts; bind-natural binders; craft-functional art objects; design-sustainable surfaces,tableware made from organic materials
Atelier Collection,customizable-colour; customizable-style; dyed-veneer,customized furniture surfaces
Atex Colour,provide strength; offer flexibility; resist fire; reflect light; stabilize UV exposure,stage and façade covers
Atex Screen,impregnate-silicone resin; resist-fire; generate-smoke,internal liner for airports and stadiums
Atex,reinforce-materials; coat-fabric; create-structures,lightweight membrane structures
Atlantique,create-novel product; match-style; resist-UV; resist-water; allow-easy cleaning,custom outdoor flooring for terraces and swimming pools
Atmospheric Wood,transform-wood; reproduce-drawings; create-patterns,architectural blueprints with blue hues
Attraction,provide durability; facilitate maintenance; allow fitting without adhesives; offer antibacterial properties,anti-static floor tiles for computer rooms
Aurea,provide-flame retardancy; enable-cleanability; allow-elastic fitting; offer-waterproofing; resist-mechanical tractions,upholstered furniture with leather-effect surface
Autarchy,produce-vessels; produce-lamps; provide-durability,functional vessels and lamps
Autoheal,adhere-bond; self-heal; seal-form; weld-join,self-healing adhesive tape
Automatic & Serendpt,question-design; represent-patterns; print-abstract,textile scarves with abstract patterns
Avocado Seed Bricks,transform-waste; create-bricks; bind-materials; shape-structures,lightweight structural bricks for eco-conscious architecture
Avonite Glass Series,cast-sheets; thermoformed-shapes; replenished-surface; resistant-chemicals; resistant-stains,backlit service counters
Avonite Petals Series,create-sheets; thermoform-shapes; resist-stains; allow-seamless-jointing,washroom and service counters
Avonite Recycled Acrylic Series,create seamless jointing; resist chemical stains; thermoform sheets; replenish surface,washroom and reception counters
Avonite,create-granite effect; create-metallic effect; thermoform-shape; resist-chemical; resist-stain,washroom work surfaces
Awakyuki – Melting Snow,create-light effects; add-warm ambiance; reinforce-durability,window shades and screens
Axpoly,convert-noun; process-noun; reuse-noun,injection moulded components
Ayrlite Sonium,reduce noise; improve acoustic quality; absorb sound,soundproof enclosures and wall absorbers
B-Clear,allow-light; ensure-privacy; integrate-LEDs; provide-durability; apply-slip-resistance,translucent partition wall panels
B.Cork,coating-breathable; coating-natural; delivering-soft touch,breathable textile for clothing
Baby Merino,spin-yarn; dye-fiber; knit-fabric; felt-material,hand-knitted garments for infants
Backlight Images,preserve-images; illuminate-reliefs; design-displays; advertise-logos,3-Dimensional photographic display system
Bacterial cellulose,exhibit tensile strength; offer substitute for plastic; be dyed; be shaped in multiple textures,textile-like materials for sustainable fashion
Bahia,create-mosaic; decorate-wall; cover-surface,indoor decorative wall covering
Baileo Envi Neo Pyramid,provide warmth; create coziness; offer durability; enable easy maintenance; allow easy application,decorative wall panels
Balsa Platte Lightwood B1,provide fire retardance; combine pressure resistance; allow surface processes,large-size wall and ceiling panels
Balsaboard Lightwood,guarantee-compressive strength; provide-low weight; support-sandwich construction,lightweight sandwich panels for furniture
BalsaConcrete,reduce weight; provide impact resistance; allow customization,lightweight kitchen countertop
Balsatec,provide insulation; resist moisture; resist thermal transfer; resist fatigue,thermal and sound insulation panels
Bamboo 3D Panels,enhance-translucency; change-acoustic performance; create-spatial effect,decorative wall panels
Bamboo Elite Premium,provide stability; enhance aesthetics; offer durability; enable floating installation,wide plank flooring for residential and commercial use
Bamboo fibres,replace-oil-based raw materials; grow-locally; compete-mechanical properties,biobased paint and composite materials
Bamboo Groove & Star Canopy,create-texture; provide-structure; enhance-aesthetics,decorative wall covering
Bamboo mosaic,decorate-wall; cover-surface; design-furniture,wall covering in bathrooms
Bamboo panels,cut-panel; dye-panel; smoke-panel; fireproof-panel; mount-panel,interior wall cladding
Bamboo UltraDensity heavy duty flooring,provide-durability; offer-ecological-solution; meet-performance-standards,heavy duty flooring for high traffic areas
Bamboo veneer,bonded veneer; manufacture veneer; overlay plywood; soften material; air dried,decorative plywood overlay
"Banana fibre, hemp & jute carpet",provide-texture rugs; absorb-moisture; offer-eco-friendliness,hand-knotted high-end rugs
Banana fibre paper,create-paper; fuse-fibres; provide-lightweight-material; offer-tear-resistance; enable-biodegradability,sustainable packaging for consumer products
Bananatex®,provide-durability; enhance-biodiversity; contribute-reforestation; offer-waterproofing,durable technical fabric for outdoor gear
Baq+,resist-chemicals; repel-moisture; protect-noise; resist-fire; ensure-colour fastness,exterior wall cladding panels
Barbara Steinmann,handcrafted-tiles; baked-tiles; printed-patterns; painted-motifs,decorative wall and floor tiles
Barcode,create-tile; fuse-glass; design-structure,decorative glass tiles for interior walls
Bark Cloth,provide insulation; offer aesthetic appeal; resist stains; allow light passage; enable customization,laminated wall covering
Bark,protective-cladding; natural-aesthetic,interior and facade cladding panels
Barkcloth HPL,provide decorative surface; offer unique texture; enhance interior aesthetics,high quality wall and ceiling panels
Barkskin,provide insulation; offer aesthetic appeal; serve as wallpaper; create unique textures,decorative wall covering
Barktex,harvest-noun; combine-noun; mould-verb; provide-verb; contribute-verb,lightweight door interior trim
Barlo Cast Design,resist-stains; filter-light; retain-texture; combine-wood; combine-metal,interior design elements and showcases
Barlo SPC Diamond,provide-non-yellowing; support-loading; reflect-infrared-radiation; transmit-light; insulate-thermal,conservatory roofing
Barnwood,recover-noun; cover-noun; floor-noun,weathered wood wall paneling
Barracuda Aluminized Fabric,combine-noun; coat-noun; mold-noun; emulate-noun; resist-noun,fire resistant decorative fabric for helmets
Barricada,provide-barrier; allow-breathability,surgical gowns and drapes
Barrique boden,provide-nature; create-color; strengthen-surface,parquet flooring from wine barrels
Barrisol Biosource,facilitate recycling; achieve sustainability; integrate production circuit,recyclable membrane for interior design
Barrisol Clim,provide-comfort; save-energy; integrate-acoustics; allow-personalization,energy-efficient air conditioning system
BARRISOL MIRROR®,enhance-acoustic comfort; mix-reflective capacity; adapt-3D shapes,acoustic wall panels
Barrisol,create-ceilings; provide-fire-resistance; ensure-air-quality,stretch ceiling systems
Basalt Tiles,provide durability; offer aesthetic appeal; resist chemical agents; facilitate easy maintenance; support heavy loads,industrial flooring tiles for heavy-duty environments
Basalt Woven Textile,provide tensile strength; offer chemical resistance; insulate against heat; serve as electric insulator,electric insulating materials for high-voltage equipment
Base Superbo,transform-noun; colour-verb; layer-verb; cut-verb; combine-verb,decorative interior panels with glass composite
Baswa acoustic plaster,absorb-sound; reduce-reverberation; provide-aesthetic,acoustic ceiling finish
Batyline Canatex,provide strength; enhance flexibility; offer breathability; ensure quick-drying; resist UV; resist fire,outdoor furniture upholstery
BauBuche Beam,allow production; create beams; show hardwood surface; bond strips,slim structural beams for large spans
Bauxite Residue ceramics,transform-ceramic bodies; create-glazes; fit-architectural use,ceramic tiles for building facades
Bcomp Textile,fabrication-eco-superior products; providing-architectural textile alternative,natural fibre composite architectural panels
bCore,provide shear strength; offer fatigue strength; combine low-density veneers,lightweight ski core material
Beadazzled,reflect light; create surfaces; allow customization,flexible wallcovering for interior design
Bealstone,combine-durability; provide-water resistance; enable-customisation; resist-moisture; resist-stains; ensure-easy maintenance,seamless flooring and wall finishes
Beaufort,provide strength; resist UV; resist water; offer comfort; allow cleaning,high tenacity polyester loop pile carpet
Bee_bo,covering-noun; adapting-noun; contributing-noun; recycling-noun,architectural interior profiles for wall and ceiling coverings
BeeBoard,withstand heavy loads; provide protective capacity; reduce disposal costs,transport packaging for heavy loads
Beeksteen,reduce-CO2 emissions; provide-ecological benefits; provide-economic benefits; provide-social benefits,facing walls for buildings
Beetlecrete – MPBWC,provide moisture resistance; offer fire resistance; allow easy cutting; enable shaping with molds,lightweight structural panels for construction
Bekaert Bekinox VN,conduct electricity; resist heat; transfer signals; provide flexibility; enable durability,electrically conductive textile for heating
Bekaert Quench Products,combine-heat resistance; combine-mechanical durability; combine-air permeability; provide-softness,covering material for quench rings in automotive glass
BELEAF,provide-comfort; offer-resistance; reduce-carbon footprint; preserve-environment,vegan leather alternative for fashion accessories
Belgian Linen,weave-fabric; produce-accessories; add-touch,high-end linen textile accessories
Belin,offer-nature; adapt-temperature; elevate-space,sustainable window curtains
Belle Naturelle,provide insulation; absorb sound; create wall-coverings; enhance aesthetics,acoustic wall-coverings
