u,v,weight,edge_type
biopolymers,biopolymer binder,0.7224149703979492,semantic
biopolymers,starch-based biopolymer,0.7517553567886353,semantic
biopolymers,photopolymers,0.685835599899292,semantic
biopolymers,synthetic fluoropolymers,0.6281144022941589,semantic
recycled fabric,laminate-fabric,1.0,cooccurrence
recycled fabric,proof-water,1.0,cooccurrence
recycled fabric,provide-comfort,1.0,cooccurrence
recycled fabric,recyclable materials,0.6817781329154968,semantic
recycled fabric,recycled acrylic,0.7163391709327698,semantic
recycled fabric,recycled content,0.6609731912612915,semantic
recycled fabric,recycled denim,0.7866437435150146,semantic
recycled fabric,recycled material,0.8794103860855103,semantic
recycled fabric,recycled polyester,0.8565626740455627,semantic
recycled fabric,recycled materials,0.8392812609672546,semantic
recycled fabric,recycled nylon,0.8310952186584473,semantic
recycled fabric,recycled mixed textiles,0.8270238637924194,semantic
recycled fabric,recycled textile felt,0.8212946653366089,semantic
recycled fabric,recycled textile or natural fibres,0.812117338180542,semantic
recycled fabric,recycled textile and plastic waste,0.8104792237281799,semantic
recycled fabric,recycled polyethylene,0.7545735836029053,semantic
recycled fabric,recycled felt,0.7482433915138245,semantic
recycled fabric,recycled jeans fibers,0.7253298163414001,semantic
recycled fabric,recycled jeans fibres,0.7270196080207825,semantic
recycled fabric,recycled leather,0.7465096712112427,semantic
recycled fabric,recycled marine nylon,0.7377476096153259,semantic
recycled fabric,recycled material panel,0.7195861339569092,semantic
recycled fabric,recycled mineral fibre,0.7200663685798645,semantic
recycled fabric,recycled paper,0.7371621131896973,semantic
recycled fabric,recycled paper composite,0.7289655804634094,semantic
recycled fabric,recycled paper-products,0.6974143981933594,semantic
recycled fabric,recycled pet,0.6807048320770264,semantic
recycled fabric,recycled pet blend,0.6298033595085144,semantic
recycled fabric,recycled pet felt,0.6620517373085022,semantic
recycled fabric,recycled polystyrene,0.702791690826416,semantic
recycled fabric,recycled wood,0.7179739475250244,semantic
recycled fabric,recycled wool and rubber,0.7431647777557373,semantic
recycled fabric,textile waste,0.7238538265228271,semantic
recycled fabric,unrecyclable fabric scraps,0.6807765960693359,semantic
fiber-reinforced composite,change shape,1.0,cooccurrence
fiber-reinforced composite,maintain strength,1.0,cooccurrence
fiber-reinforced composite,reshape material,1.0,cooccurrence
fiber-reinforced composite,recover shape,1.0,cooccurrence
fiber-reinforced composite,aerospace composite materials,0.6319079399108887,semantic
fiber-reinforced composite,biodegradable natural fiber reinforced compounds,0.6334918737411499,semantic
fiber-reinforced composite,carbon fiber composite,0.7779942154884338,semantic
fiber-reinforced composite,composite material,0.7369900941848755,semantic
fiber-reinforced composite,composites,0.653217613697052,semantic
fiber-reinforced composite,fiber reinforced plastics,0.7787513732910156,semantic
fiber-reinforced composite,natural fibre composite,0.7933499813079834,semantic
fiber-reinforced composite,natural fiber composite,0.7929552793502808,semantic
fiber-reinforced composite,fibre-reinforced plastics,0.7728179097175598,semantic
fiber-reinforced composite,flax fibre composites,0.7264834046363831,semantic
fiber-reinforced composite,fibre reinforced cement,0.7115727066993713,semantic
fiber-reinforced composite,plant-based composite,0.7100446820259094,semantic
fiber-reinforced composite,pet fibre composite,0.7013606429100037,semantic
bamboo,enhance-translucency,1.0,cooccurrence
bamboo,change-acoustic performance,1.0,cooccurrence
bamboo,create-spatial effect,1.0,cooccurrence
bamboo,create-texture,1.0,cooccurrence
bamboo,provide-structure,1.0,cooccurrence
bamboo,enhance-aesthetics,1.0,cooccurrence
bamboo,bamboo fibre,0.8226437568664551,semantic
bamboo,bamboo fibers,0.8058376312255859,semantic
bamboo,moso bamboo,0.802135169506073,semantic
bamboo,bamboo pulp,0.7897117733955383,semantic
bamboo,bamboo fibres,0.7859371900558472,semantic
bamboo,bamboo plywood,0.7729726433753967,semantic
wood veneers,provide-durability,1.0,cooccurrence
wood veneers,enhance-aesthetics,1.0,cooccurrence
wood veneers,resist-weathering,1.0,cooccurrence
wood veneers,offer-fabrication-options,1.0,cooccurrence
wood veneers,beech laminated veneer lumber,0.8215028047561646,semantic
wood veneers,composite veneer,0.7622726559638977,semantic
wood veneers,concrete veneer,0.7056851387023926,semantic
wood veneers,laminated veneer lumber,0.8132579922676086,semantic
wood veneers,veneer,0.8610896468162537,semantic
wood veneers,veneered panel,0.6767774820327759,semantic
wood veneers,wood veneer,0.96649169921875,semantic
wood veneers,wood-grain veneer,0.9080021977424622,semantic
wood veneers,wood and resin,0.6878594756126404,semantic
date pits,transform-noun,1.0,cooccurrence
date pits,harness-potential,1.0,cooccurrence
date pits,reimagine-noun,1.0,cooccurrence
date pits,offer-alternative,1.0,cooccurrence
lycra,provide elasticity,1.0,cooccurrence
lycra,enhance durability,1.0,cooccurrence
lycra,create tactile texture,1.0,cooccurrence
lycra,lycra fibre,0.7231482863426208,semantic
expanded glass,insulate-concrete,1.0,cooccurrence
expanded glass,reduce-weight-concrete,1.0,cooccurrence
expanded glass,enable-fast-construction,1.0,cooccurrence
expanded glass,eliminate-thermal-bridges,1.0,cooccurrence
expanded glass,cast glass,0.6375918984413147,semantic
expanded glass,e-glass,0.6659530997276306,semantic
expanded glass,glass,0.7340371012687683,semantic
expanded glass,liquid glass,0.6845234036445618,semantic
expanded glass,crystal glass,0.6809397339820862,semantic
expanded glass,float glass,0.6698713898658752,semantic
expanded glass,glass foam,0.6251474618911743,semantic
expanded glass,acrylic glass,0.6226451396942139,semantic
expanded glass,borosilicate glass,0.6209561824798584,semantic
wooden textile,make-flexible,1.0,cooccurrence
wooden textile,make-strong,1.0,cooccurrence
wooden textile,3d textiles,0.6453879475593567,semantic
wooden textile,dyed wood fibre,0.6907203197479248,semantic
wooden textile,pine needle textile,0.750515341758728,semantic
wooden textile,textile,0.8049944043159485,semantic
wooden textile,textile substrate,0.6656874418258667,semantic
wooden textile,textiles,0.770952582359314,semantic
wooden textile,wood fibre,0.752817690372467,semantic
wooden textile,wood textile,0.9594815373420715,semantic
wooden textile,textile fabric,0.768642246723175,semantic
wooden textile,nylon textile,0.7476335763931274,semantic
wooden textile,wood wool,0.7337514758110046,semantic
wooden textile,wood fibres,0.7286989688873291,semantic
wooden textile,fabrics,0.7285475730895996,semantic
chipboard,provide-structure,1.0,cooccurrence
chipboard,finish-surface,1.0,cooccurrence
chipboard,create-texture,1.0,cooccurrence
chipboard,synthetic board,0.6331944465637207,semantic
chipboard,wood chips,0.6313017010688782,semantic
glass fabric,provide strength,1.0,cooccurrence
glass fabric,offer flexibility,1.0,cooccurrence
glass fabric,resist fire,1.0,cooccurrence
glass fabric,reflect light,1.0,cooccurrence
glass fabric,stabilize uv exposure,1.0,cooccurrence
glass fabric,acoustic fabric,0.636383056640625,semantic
glass fabric,borosilicate glass,0.621961236000061,semantic
glass fabric,cork fabric,0.6262691617012024,semantic
glass fabric,e-glass,0.6534388661384583,semantic
glass fabric,fabric,0.786173939704895,semantic
glass fabric,fiberglass,0.7283969521522522,semantic
glass fabric,fireproof fabric,0.6212372779846191,semantic
glass fabric,glass,0.7732570171356201,semantic
glass fabric,glass beads,0.6621986627578735,semantic
glass fabric,glass fibre fabric,0.8981361985206604,semantic
glass fabric,textile glass,0.8460379838943481,semantic
glass fabric,glass fibre,0.7947091460227966,semantic
glass fabric,glass fiber reinforcement fabric,0.7851167917251587,semantic
glass fabric,glass fibers,0.7767553329467773,semantic
glass fabric,glass fiber,0.7621016502380371,semantic
glass fabric,glass polymer,0.7575741410255432,semantic
glass fabric,glass fibres,0.7541717290878296,semantic
glass fabric,glass foam,0.7232399582862854,semantic
glass fabric,metal fabric,0.6976019144058228,semantic
glass fabric,ptfe coated glass fabric,0.7075774669647217,semantic
brazilian cowhide,provide insulation,1.0,cooccurrence
brazilian cowhide,offer sound absorption,1.0,cooccurrence
brazilian cowhide,suit floor heating,1.0,cooccurrence
brazilian cowhide,resist electrostatic,1.0,cooccurrence
brazilian cowhide,cowhide,0.8297301530838013,semantic
blood,create-novel materials,1.0,cooccurrence
blood,reduce-waste,1.0,cooccurrence
blood,explore-sustainability,1.0,cooccurrence
metallic surfaces,reproduce logos,1.0,cooccurrence
metallic surfaces,create unique patterns,1.0,cooccurrence
metallic surfaces,increase gloss,1.0,cooccurrence
metallic surfaces,simulate aesthetic impact,1.0,cooccurrence
metallic surfaces,improve functionality,1.0,cooccurrence
metallic surfaces,metal mesh,0.7029609680175781,semantic
metallic surfaces,metal meshes,0.7076377868652344,semantic
metallic surfaces,metal surfaces,0.9452499151229858,semantic
metallic surfaces,metallic materials,0.7691611647605896,semantic
metallic surfaces,metallised surface,0.8558782935142517,semantic
metallic surfaces,solid surface,0.6642403602600098,semantic
metallic surfaces,metals,0.6579198241233826,semantic
metallic surfaces,solid surface material,0.6420494914054871,semantic
metallic surfaces,metal,0.6279086470603943,semantic
reindeer moss,craft- designs,1.0,cooccurrence
reindeer moss,provide- solution,1.0,cooccurrence
reindeer moss,retain- colour,1.0,cooccurrence
reindeer moss,install- easily,1.0,cooccurrence
reindeer moss,repair- holes,1.0,cooccurrence
reindeer moss,moss,0.7259273529052734,semantic
aramid,provide-high strength,1.0,cooccurrence
aramid,offer-thermal stability,1.0,cooccurrence
aramid,resist-chemical degradation,1.0,cooccurrence
aramid,aramid fibre,0.7151535749435425,semantic
aramid,aramid fibers,0.6818826794624329,semantic
citrus peels,thickener-emulsions,1.0,cooccurrence
citrus peels,stabilizer-suspensions,1.0,cooccurrence
citrus peels,water-regulating-function,1.0,cooccurrence
citrus peels,firming-gels,1.0,cooccurrence
citrus peels,citrus textile,0.6288813948631287,semantic
latex,transform-emulsion,1.0,cooccurrence
latex,create-film,1.0,cooccurrence
latex,experiment-shapes,1.0,cooccurrence
latex,change-viscosity,1.0,cooccurrence
cement impregnated fabric,harden-noun,1.0,cooccurrence
cement impregnated fabric,form-noun,1.0,cooccurrence
cement impregnated fabric,water proof-noun,1.0,cooccurrence
cement impregnated fabric,fire proof-noun,1.0,cooccurrence
cement impregnated fabric,provide-noun,1.0,cooccurrence
cement impregnated fabric,fibre cement,0.6711025238037109,semantic
cement impregnated fabric,cementitious concrete,0.6427085399627686,semantic
cement impregnated fabric,cement,0.6404440999031067,semantic
cement impregnated fabric,cement-based composite,0.6372215151786804,semantic
thermoplastic polyester,extrude-sheet,1.0,cooccurrence
thermoplastic polyester,form-sheet,1.0,cooccurrence
thermoplastic polyester,bend-cold,1.0,cooccurrence
thermoplastic polyester,thermoform-complex,1.0,cooccurrence
thermoplastic polyester,bio-thermoplastic elastomer,0.6936373114585876,semantic
thermoplastic polyester,thermo plastic elastomer,0.6370624899864197,semantic
thermoplastic polyester,thermoharder plastics,0.6563516855239868,semantic
thermoplastic polyester,thermoplastic,0.8537672162055969,semantic
thermoplastic polyester,thermoplastic elastomers,0.7231244444847107,semantic
thermoplastic polyester,thermoplastic film,0.7730607390403748,semantic
thermoplastic polyester,thermoplastic materials,0.877418577671051,semantic
thermoplastic polyester,thermoplastic netting,0.6526186466217041,semantic
thermoplastic polyester,thermoplastic olefin,0.7245825529098511,semantic
thermoplastic polyester,thermoplastic panel,0.7191993594169617,semantic
thermoplastic polyester,thermoplastic polymers,0.9154374003410339,semantic
thermoplastic polyester,thermoplastic polymer,0.9139987826347351,semantic
thermoplastic polyester,thermoplastic polyester sheets,0.8908851146697998,semantic
thermoplastic polyester,thermoplastic polyurethane,0.8188667893409729,semantic
thermoplastic polyester,polyester,0.7632874846458435,semantic
thermoplastic polyester,polyester composite,0.7559763193130493,semantic
thermoplastic polyester,polyester resin,0.735664963722229,semantic
thermoplastic polyester,thermoplastic powder coatings,0.6542176604270935,semantic
thermoplastic polyester,thermoplastic shape memory polymer,0.6889275312423706,semantic
paper,provide strength,1.0,cooccurrence
paper,offer lightweight,1.0,cooccurrence
paper,enable printability,1.0,cooccurrence
paper,allow cutting,1.0,cooccurrence
paper,support recycling,1.0,cooccurrence
paper,marking-indoor,1.0,cooccurrence
paper,printing-inkjet,1.0,cooccurrence
paper,decorative sheet paper,0.6703001856803894,semantic
paper,drop paper,0.7477575540542603,semantic
paper,kraft paper,0.727182924747467,semantic
paper,micro-paper,0.7202197909355164,semantic
paper,natural paper,0.7605088949203491,semantic
paper,nonwoven paper,0.690043032169342,semantic
paper,wood paper,0.8002294301986694,semantic
paper,synthetic paper,0.7106339931488037,semantic
paper,recycled paper,0.6982038021087646,semantic
paper,washi paper,0.6911660432815552,semantic
washi paper,allow light,1.0,cooccurrence
washi paper,provide rustic effect,1.0,cooccurrence
washi paper,cover walls,1.0,cooccurrence
washi paper,washi,0.6975663900375366,semantic
cork and concrete,provide insulation,1.0,cooccurrence
cork and concrete,offer durability,1.0,cooccurrence
cork and concrete,enhance aesthetics,1.0,cooccurrence
cork and concrete,improve acoustics,1.0,cooccurrence
cork and concrete,concrete,0.6787770986557007,semantic
cork and concrete,cork,0.7642945051193237,semantic
cork and concrete,potato cork,0.7341001629829407,semantic
cork and concrete,cork composite,0.7058829665184021,semantic
cork and concrete,cork fabric,0.6876417398452759,semantic
cork and concrete,cork and linen,0.6669771671295166,semantic
cork and concrete,cork leather,0.6517942547798157,semantic
cork and concrete,cork polymer composite,0.6400154232978821,semantic
phenolic or polyester resins,provide mechanical strength,1.0,cooccurrence
phenolic or polyester resins,resist shear,1.0,cooccurrence
phenolic or polyester resins,resist creep,1.0,cooccurrence
phenolic or polyester resins,resist marine growth,1.0,cooccurrence
phenolic or polyester resins,machine without dust,1.0,cooccurrence
phenolic or polyester resins,maintain dimensional stability,1.0,cooccurrence
phenolic or polyester resins,phenolic-resin,0.8698580861091614,semantic
phenolic or polyester resins,polyester resin,0.8174629807472229,semantic
phenolic or polyester resins,polymer resin,0.7542546987533569,semantic
phenolic or polyester resins,polyolefin resins,0.7316267490386963,semantic
phenolic or polyester resins,resins,0.7230172753334045,semantic
phenolic or polyester resins,polycarbonate resins,0.7184711694717407,semantic
phenolic or polyester resins,synthetic resin,0.7139245271682739,semantic
phenolic or polyester resins,natural resin,0.6936267614364624,semantic
phenolic or polyester resins,resin,0.6867837309837341,semantic
phenolic or polyester resins,acrylic resin,0.6850525736808777,semantic
used banners,process-noun,1.0,cooccurrence
used banners,recycle-noun,1.0,cooccurrence
used banners,create-noun,1.0,cooccurrence
hogweed veneer,transform-wasted material,1.0,cooccurrence
hogweed veneer,handcraft-wall tiles,1.0,cooccurrence
hogweed veneer,veneer,0.6482889652252197,semantic
high pressure laminates,absorb sound,1.0,cooccurrence
high pressure laminates,reduce noise,1.0,cooccurrence
high pressure laminates,provide fire resistance,1.0,cooccurrence
high pressure laminates,high pressure laminate,0.915241003036499,semantic
reclaimed wood,reduce co2 emissions,1.0,cooccurrence
reclaimed wood,emit less formaldehyde,1.0,cooccurrence
reclaimed wood,suitable for industrial processing,1.0,cooccurrence
reclaimed wood,suitable for interior design,1.0,cooccurrence
reclaimed wood,suitable for furniture production,1.0,cooccurrence
reclaimed wood,reclaimed leather,0.6693185567855835,semantic
reclaimed wood,recycled wood,0.8362866044044495,semantic
reclaimed wood,recycled acacia wood,0.6940778493881226,semantic
reclaimed wood,recycled wood chips,0.6528902649879456,semantic
reclaimed wood,wood,0.6476027965545654,semantic
reclaimed wood,reclaimed fibres,0.6456004977226257,semantic
reclaimed wood,wood and resin,0.634819746017456,semantic
milk protein,create-colours,1.0,cooccurrence
milk protein,develop-dyes,1.0,cooccurrence
milk protein,apply-natural,1.0,cooccurrence
milk protein,dairy products,0.6560021042823792,semantic
milk protein,milk fibre,0.6989781260490417,semantic
milk protein,milk proteins,0.9667283296585083,semantic
milk protein,milk fibres,0.653511643409729,semantic
milk protein,soybean protein,0.6251034736633301,semantic
pes,reflective-print,1.0,cooccurrence
pes,water-repellent,1.0,cooccurrence
pes,pes tervira cs,0.6356337666511536,semantic
pir,reduce-energy consumption,1.0,cooccurrence
pir,provide-thermal insulation,1.0,cooccurrence
pir,improve-environmental sustainability,1.0,cooccurrence
translucent marble,bonding-veneers,1.0,cooccurrence
translucent marble,providing-light,1.0,cooccurrence
translucent marble,protecting-surface,1.0,cooccurrence
translucent marble,composite of marble and glass,0.673396646976471,semantic
translucent marble,crushed white marble,0.6871976852416992,semantic
translucent marble,marble,0.7711739540100098,semantic
translucent marble,marble pebbles,0.6299867033958435,semantic
translucent marble,marble powder,0.6396212577819824,semantic
translucent marble,translucent stone,0.7795947790145874,semantic
carbon black,replace-pigment,1.0,cooccurrence
carbon black,enhance-reinforcing characteristics,1.0,cooccurrence
carbon black,reduce-processing costs,1.0,cooccurrence
carbon black,improve-weather ability,1.0,cooccurrence
carbon black,increase-tinting strength,1.0,cooccurrence
carbon black,activated carbon,0.6216586828231812,semantic
carbon black,carbon,0.7650094032287598,semantic
carbon black,carbonium,0.6660088300704956,semantic
champagne chalk,provide-durability,1.0,cooccurrence
champagne chalk,offer-sustainability,1.0,cooccurrence
champagne chalk,enable-dyeing,1.0,cooccurrence
champagne chalk,chalk and coal,0.6598439812660217,semantic
recycled jeans fibres,create-non-toxic coating,1.0,cooccurrence
recycled jeans fibres,provide-aesthetic appearance,1.0,cooccurrence
recycled jeans fibres,enable-easy removal,1.0,cooccurrence
recycled jeans fibres,denim waste,0.677628755569458,semantic
recycled jeans fibres,reclaimed fibres,0.7090017795562744,semantic
recycled jeans fibres,recycled denim,0.796345591545105,semantic
recycled jeans fibres,recycled jeans fibers,0.9861406683921814,semantic
recycled jeans fibres,recycled textile or natural fibres,0.7688125371932983,semantic
recycled jeans fibres,recycled natural cellulose fibres,0.7338793277740479,semantic
recycled jeans fibres,recycled mineral fibres,0.7287584543228149,semantic
recycled jeans fibres,recycled nylon,0.7285218238830566,semantic
recycled jeans fibres,recycled paper fibres,0.7229555249214172,semantic
recycled jeans fibres,recycled mixed textiles,0.7177780270576477,semantic
recycled jeans fibres,recycled wool and rubber,0.6706228852272034,semantic
recycled jeans fibres,upcycled waste fibres,0.6742634773254395,semantic
pine bark,preserve-softness,1.0,cooccurrence
pine bark,coat-finishing,1.0,cooccurrence
pine bark,enrich-colour,1.0,cooccurrence
pine bark,bark,0.7237770557403564,semantic
pine bark,bark cloth,0.6664261221885681,semantic
pine bark,birch bark,0.8382610082626343,semantic
pine bark,eucalyptus bark,0.6777552366256714,semantic
pine bark,mahogany bark,0.752309262752533,semantic
pine bark,pine,0.8344766497612,semantic
pine bark,tree bark,0.833299458026886,semantic
pine bark,pine wood,0.8127159476280212,semantic
pine bark,pine needles,0.6565988063812256,semantic
pine bark,oak wood,0.6339901089668274,semantic
metal blend,shape-fabric,1.0,cooccurrence
metal blend,form-fabric,1.0,cooccurrence
metal blend,wash-fabric,1.0,cooccurrence
metal blend,clean-fabric,1.0,cooccurrence
metal blend,retard-fire,1.0,cooccurrence
metal blend,liquid metal,0.6834149360656738,semantic
metal blend,metal powder,0.7131877541542053,semantic
metal blend,metal,0.6793797612190247,semantic
metal blend,metals,0.6530793309211731,semantic
metal blend,metal iron,0.6437299847602844,semantic
metal blend,metallic materials,0.6428846716880798,semantic
metal blend,metalised polyester,0.6401628851890564,semantic
metal blend,metal fabric,0.6334133148193359,semantic
metal blend,metal mesh,0.6321693062782288,semantic
metal blend,metal film,0.625544011592865,semantic
birch bark,cover-noun,1.0,cooccurrence
birch bark,mount-verb,1.0,cooccurrence
birch bark,interlock-adjective,1.0,cooccurrence
birch bark,bark,0.6902434229850769,semantic
birch bark,bark cloth,0.6477340459823608,semantic
birch bark,birch,0.8451633453369141,semantic
birch bark,tree bark,0.7934168577194214,semantic
birch bark,mahogany bark,0.7391663789749146,semantic
birch bark,pine wood,0.7101894021034241,semantic
birch bark,eucalyptus bark,0.6991178393363953,semantic
birch bark,birch plywood,0.6815299391746521,semantic
birch bark,oak wood,0.6765601634979248,semantic
birch bark,pine,0.6676771640777588,semantic
glass fibers,combine-noun,1.0,cooccurrence
glass fibers,coat-noun,1.0,cooccurrence
glass fibers,mold-noun,1.0,cooccurrence
glass fibers,emulate-noun,1.0,cooccurrence
