source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
3d felt tiles,absorb moisture,reduce flammability,provide acoustic resistance,act as wall covering,serve as room divider,,acoustic wall panels
3d knitted jersey,provide comfort,offer flexibility,enable breathability,,,,fancy wear clothing
3d leveling cork,reduce weight,provide noise reduction,enable 3d leveling,,,,prefabricated yacht decking system
3d metal,form noun,optimize noun,save noun,,,,aerospace structural components
3d plate,shape noun,form noun,expand noun,,,,lightweight structural components for automotive bodies
3d printed concrete,print structure,provide quote,configure robot,,,,customized architectural structures
3d printed earth,provide thermal mass,offer fire resistance,absorb sound,allow customization,,,bioreceptive urban building structures
3d printed surface,enhance structure,provide rigidity,enable design possibilities,,,,front part of a shoe
3d printing clay facade bricks,minimize shrinkage,enable mortar free assembly,promote urban biodiversity,contribute to passive cooling,,,interlocking facade bricks with integrated greenery
3d printing eggshell bioceramic,reduce waste,harden room temperature,generate opportunities,,,,building blocks for construction
3d profile,provide reinforcement,offer resistance,enhance strength,improve durability,,,reinforced structural profiles for construction
3d series,bend light,twist design,flex structure,,,,decorative wall systems
3d smoke out,masking effect,allow smoke escape,enable fire sprinkler access,,,,ceiling system with 3d knitted fabric
3d stretch,provide elasticity,enhance durability,create tactile texture,,,,active sportswear and swimwear
3d tex pes pp khf,control stability,impregnate resin,create core,produce components,,,sandwich components for metallic façade systems
3d textile,absorb sound,cover wall,support body,provide relief,stretch surface,,ergonomic mattress system
3d textiles by gaetano rossini,create complex structures,provide breathability,offer elasticity,ensure flame retardancy,resist abrasion,,automotive seat covers
3d textiles,explore potential,create effects,add interest,provide appeal,,,lighting and cushion designs
3d textilles,absorb sound,reduce noise,create textures,manipulate light,,,acoustic textile wall panels
3d wood,enhance properties,provide flexibility,offer stain resistance,maintain color,,,flexible wall paneling
3mesh,allow air circulation,regain original shape,adjust hardness,provide cushioning,,,air conditioned automotive seats
4 outdoor,water repellent treatment,stain resistant fabric,mold resistant material,light fast fabric,,,outdoor furniture upholstery
4design panels,create naturallook,provide wallfinish,enable flexibleapplication,,,,wall finish with tropical hardwood appearance
850 c ash concrete,reuse noun,provide noun,show noun,,,,terrazzo flooring with recycled materials
abacá,transform nature,create surface,contribute credits,,,,high pressure laminate flooring
abstract mirror,reflective surface,decorated tile,create depth,create movement,,,decorative wall tiles for interiors
accoya,protects wood from rot,reduces swelling tendency,increases uv resistance,retains strength,,,exterior wooden structures
accura bluestone plastic,provide high stiffness,ensure excellent printing accuracy,resist deformation,withstand high humidity,support heavy loads,,wind tunnel testing apparatus
acilux,resist heat,resist scratching,provide countertop,,,,kitchen countertops
acospray,optimize durability,enhance fire safety,provide acoustic insulation,,,,seamless acoustic spray plaster for walls and ceilings
acoustic baffles,absorb sound,reduce noise,conduct sound,,,,acoustic ceiling panels for sound absorption
acoustic ceiling spray on solutions,absorb sound,create texture,optimize room experience,blend in design,integrate fixtures,,acoustic ceiling treatment
acoustic cork wall tiles,softening sound,creating patterns,providing insulation,,,,acoustic wall tiles for soundproofing
acoustic elements,reduce noise,improve acoustics,customize finish,,,,acoustic wall panels for interior spaces
acoustic grilles,provide acoustic comfort,conceal ceiling construction,guide sound waves,create warm atmosphere,offer design freedom,,wooden ceiling system with acoustic properties
acoustic high performance sheets,provide acoustic value,enable recycling,serve as wall covering,act as room dividers,,,acoustic wall panels for sound absorption
acoustic lightboard platten,absorb sound,provide structure,reduce noise,,,,acoustic furniture doors
acoustic metal,absorb sound,let light through,resist fire,resist water,shape easily,,sound absorbing ceiling panels
acoustic reed elements,absorb sound,design panel,install easily,,,,acoustic wall and ceiling panels
acoustic ribpanel slim,absorb sound,reduce reverberation,improve acoustics,provide design freedom,,,sound absorbing wall panel
acoustic ribpanel,reduce reverberation,improve acoustics,conduct sound waves,absorb sound,,,acoustic wall panel for interior design
acoustic textile,absorb sound,bring colour,provide separation,,,,sound absorbing wall panels
acoustic wool felt rigid,improve acoustic properties,provide aesthetic appeal,meet technical specifications,,,,acoustic wall panel
acoustics 3d full colour felt,absorb sound,insulate noise,regulate reverberation,increase comfort,resist impact,,acoustic wall coverings for interior spaces
acrylic couture,create depth,achieve radiant effects,guarantee uv resistance,provide scratch resistance,efficient scatter light,,decorative wall panels with led lighting
acrylic one,achieve natural look,mimic materials,color layer,add structure,suggest metal characteristics,process under many circumstances,decorative wall panels with varied textures
acrylic,create sheets,produce variations,include fluorescent paints,offer transparency,,,fashion accessories and display stands
acrysmart,change transmittance,regulate solar energy,save heating energy,save cooling energy,,,intelligent sun protection systems
act wrm,control resonance frequency,vibrate air,absorb sound,,,,acoustic panel for sound insulation
activ selfcleaning glass,reacts with daylight,breaks down organic dirt,spreads evenly,runs off in a sheet,,,self cleaning window panes
active protection system,stiffen high impact,remain flexible,respond changes,,,,protective garment integration
adamant textile,combine noun,attach noun,maintain flexibility,,,,flexible concrete textile panels
advantic syntactic foam,embed microspheres,reduce weight,provide strength,create low density,remove excess resin,,aerospace structural core
aectual wrap panel,shape panels,customize panel shape,clad walls,achieve bespoke finish,,,custom wall cladding panels
aeras,mimic nature,provide warmth,offer slickness,create structure,,,three dimensional loop type carpet
aerialite,improve wet out,reduce air bubbles,increase laminate strength,provide smooth surface,,,lightweight composite surfboards
aerogel,insulate buildings,transmit light,reduce weight,,,,daylighting units for buildings
aestetica composites,enhance colour,provide strength,reduce weight,offer durability,allow customization,,lightweight structural components for vehicles
aesthetical ceramics,realising designs,presenting beauty,providing scratch resistance,offering texture,,,interior wall tiles with aesthetic finishes
agribiopanel,reduce carbon emissions,provide acoustic insulation,increase thermal insulation,enhance load bearing,,,partition walls and ceilings in building interiors
agriluma agrimat,compression moulding light fixtures,compression moulding decorative elements,compression moulding furniture pieces,,,,unique lighting fixtures
agt glow sand,mix into concrete,mix into epoxy,provide luminosity,enhance aesthetics,,,glowing concrete surface sealer
aguardian,eliminate odours,kill micro organisms,provide fire resistance,offer abrasion resistance,,,medical device covers
airflake,absorb sound,create screen,divide rooms,mount walls,,,modular sound absorbing room divider
airmaxx,compress wood,coat panel,process material,,,,furniture worktops
aisti teno acoustic tile,absorb sound,provide sustainability,ensure fire retardancy,,,,suspended ceiling acoustic tiles
akdolam lightweight stone panels,create installations,cut sheets,laminate materials,offer approach,,,large format stone wall panels
akzent panels,decorate walls,create furniture,create bars,prevent bending,,,3d wall panels for interior decoration
al100 wall shield,shield emi,shield rf,cut easily,,,,shielded pouches and wallets
albeflex,bend narrow,provide translucence,create flexibility,,,,curved interior wall panels
alchimea lana,provide thermal insulation,offer sound insulation,bind air pollutants,convert pollutants into harmless compounds,protect against fire,,heat and sound insulation in building construction
alchimia natural yarn dyes on milk fibre,create colours,develop dyes,apply natural,,,,natural dyeing of textiles
alesta powder coating the finetextured collection,improve scratch resistance,hide imperfections,provide aesthetics,fulfill architectural requirements,,,architectural surface finish
algae based biopolymer,softens water,gels heat,acts plasticizer,ensures compostability,,,biodegradable packaging material
algae foam,mimic properties,manage nutrients,balance ecology,reduce oil use,,,flexible biofoam for cushioning
algal tiles,absorb wetness,resist moisture,provide aesthetic,,,,interior wall tiles
algorythm,shape structures,model fabrication,maintain integrity,,,,architectural facades with fluid motion aesthetics
alicrite string,create surface,achieve colour,provide decorative effect,,,,decorative wall cladding panels
alkemi acrylic,provide surfacing,contain recycled content,offer finish options,,,,solid surface countertops
alkorfol,provide high gloss,enable flat lamination,allow easy cleaning,resist stains,withstand chemicals,,laminated furniture elements
all round heating,control temperature,heat surfaces,provide radiant heat,,,,thin electrical heating panel for walls and ceilings
allison,provide strength,offer lightweight,enable printability,allow cutting,support recycling,,exhibition stands and shop layouts
allura,provide aesthetics,offer durability,enable installation,,,,luxury vinyl tile flooring
allure manhattan,provide wall covering,create seductive look,offer variety of structures,,,,decorative wall covering
almaxco composite panels,create displays,enhance performance,allow cleaning,achieve printing quality,provide fire resistance,,colorful printed signage panels
alouette,create patterns,provide decor,resist heat,ensure durability,,,kitchen cabinets with continuous structures
alpha gel,provide cushioning,absorb shock,damp vibration,resist ozone,resist uv rays,maintain performance,shock absorbing padding for protective gear
alpha tacto,provide soft touch effect,achieve cloudy appearance,offer tactile texture,create suede effect,create textile effect,,interior wall finish for residential spaces
alphamesh,enable flexibility,provide durability,guarantee strength,,,,light projection screen
alpikord,join beauty,offer resistance,provide stability,ensure consistency,,,high pressure laminate sheets
alpilignum,reproduce colours,create designed,process large orders,,,,customized wood items
alpilignum design collection,create pattern,provide decorative surface,reduce formaldehyde emission,,,,interior decorative veneers for furniture
alpolic,provide strength,reduce weight,resist weather,enhance aesthetics,,,external building cladding panels
alrox,provide substrate,allow printing,enable coloring,offer surface finishes,,,signage and advertisement signboards
altuglas dual satin,soften colours,enhance brightness,reduce finger marking,resist scratch,,,point of sale display
aluben,support nonload materials,provide stiffness,enhance stability,reduce weight,,,structural panel for raised floors
alucobond,bonding core,providing durability,supporting ventilation,offering lightweight structure,ensuring fire performance,,rear ventilated façade systems
alulife,maintain strength,provide lightweight,offer personalization,,,,decorative wall panels
alulight,absorb sound,shield electromagnetic,isolate heat,dampen structure,absorb impact,,acoustical panels for soundproofing
alumero diamond line,extrude profile,coat surface,resist scratch,resist chemical,,,kitchen equipment with shiny finish
aluminium cladding,simulate wood,exploit performance,allow installation,,,,weatherboard for building facades
aluminium foam glass sandwich,damping noise,increasing sound proofing,providing bending stiffness,offering easy cleaning surface,,,partition wall with optical effects
aluminium foam with salt,create porosity,provide lightweight,offer temperature resistance,enable acoustic solution,,,filter system for air or water
aluminium foam,absorb energy,create lightweight,provide rigidity,resist impact,enhance safety,,crumple zone for motorcycles
aluminium frame facade panels,provide nice finish,customise designs,adapt cross sections,,,,prefabricated building facade panels
aluminium mesh,absorb energy,create pores,reduce weight,,,,open celled metal foam panels
aluminium surface collections,create finish,add texture,combine pattern,manipulate surface,layer color,,decorative architectural panels
aluminium tile,create tile,innovative designs,fabricate accessories,,,,luxurious metal tile installation
aluoldcopper,provide aesthetic,offer stability,resist corrosion,eliminate maintenance,,,architectural facade finish
alusion large small cells,absorb sound,create panels,resist corrosion,maintain lightweight,,,acoustic wall cladding panels
alveo products,provide elasticity,offer temperature resistance,enable vacuum forming,ensure flame retardancy,deliver electrical conductivity,,soft foam padding for automotive interiors
amadou,provide tactile experience,serve soothing sensation,resemble animal leather,contain no harmful binders,be renewable,,soft leather like material for garments
amber waste is bliss,transform into new material,create usable products,analyze properties,alter properties,change colours,,interior panels and tiles
ambient glow technology,illuminate non toxic,apply various methods,,,,,decorative flooring for pools and spas
amphitextm,mitigate carbon emissions,reduce chemical treatments,provide waterproof breathability,,,,recyclable waterproof breathable fabric for outdoor clothing
amplitex powerribs,improve damping properties,increase flexural rigidity,enhance buckling resistance,,,,thin layered composite structures
an jing paper,provide durability,offer aesthetic appeal,resist moth damage,,,,handmade decorative writing paper
andeline recycled leather,maintain aesthetics,resist chemicals,perform abrasion,,,,table tops and kitchen cabinets
andy,resist scratching,resist uv,resist weather,resist chemicals,resist frost,provide finishing,renovation of floors and walls
anemonia,visualize growth,emphasize qualities,reveal colour,,,,decorative wall panel
animal leather print tiles,create reliefs,provide colours,enhance designs,,,,decorative tiles for hotel lobbies
another down another down recycled,create garments,provide thermal insulation,offer comfort,,,,warm knitted jackets and coats
antibacterial surfaces,prevent bacteria,create hygienic spaces,provide antibacterial property,,,,high pressure laminates for countertops
antico,improve stability,enhance aesthetics,provide durability,,,,wide plank flooring for modern interiors
antimicrobial copper brass,kill bacteria,provide hygiene,enhance aesthetics,,,,door handles and work surfaces
antimicrobial copper bronze,kill bacteria,enhance hygiene,provide protection,,,,door handles and light switches
antimicrobial copper,minimize bacterial levels,kill bacteria,resist corrosion,exhibit strength,allow shaping,,antimicrobial door hardware
antiqued mirror and gilded glass,create finish,replicate degradation,blend mirror,achieve look,,,decorative mirror panel inset into joinery
antislip tiles,resist slip,resist wear,resist frost,resist chemical,resist staining,,slip resistant flooring in wet rooms
antolini,ensure strength,consolidate resin,reinforce slab,fill micro porosities,,,structural slabs for countertops
anvi luxury surfaces,combine nature,cast layer,create designs,,,,decorative surface panels
anvi solitaire,fuse crystals,process marble,set crystals,,,,luxurious tabletops with embedded crystals
apex,insulate thermal,weigh light,resist weather,,,,lightweight thermal insulation for outerwear
apparition translucent leather,provide softness,offer translucency,ensure water resistance,,,,translucent garments and footwear
apple pomace films,transform non toxic alternative,offer compostable option,replace leather,,,,biodegradable plant pots
aquaclean,reduce cleaning,minimize pollution,enhance durability,simplify maintenance,,,self cleaning window surface
aquarius,suspend color,create accent,install tile,,,,decorative wall and floor tiling
aquatecture water harvesting panel,collect water,harvest rainwater,integrate building feature,,,,rainwater harvesting panel for building façades
aquatic plant paper,provide oxygen,reuse waste,trim plant,,,,sustainable paper sheets
ara lt laser film,transfer pvd layer,apply marking,provide coating,,,,high quality surface marking on ceramics
arboform,enable design,process thermoplastic,mould injection,,,,injection moulded wood products
arboskin,protect noun,recycle verb,form verb,process verb,,,thermoformed building components
arcbiox bgf30 a1 and arcbiox a17,reinforce composite,replace polyamide,modify impact,,,,injection moulded components
arce s 3d tiles,create novel designs,provide high gloss,offer translucence,enable customization,,,decorative interior tiles
archi folds,create space,divide space,adapt acoustic,adapt heat,adapt light,,folded architectural screens
archi tadelakt,replicate finish,ensure workability,,,,,indoor decorative plaster finish
archisonic cotton,absorb sound,reduce waste,add aesthetic,recycle materials,,,acoustic wall tiles for sound absorption
archisonic felt,absorb sound,upcycle material,provide flexibility,meet requirements,,,acoustic wall panels for soundproofing
archisonic textile,promote sustainability,create acoustic curtains,enhance design scheme,integrate into applications,,,acoustic curtains for room separation
architectural glass surfaces,create surface,provide aesthetic,resist scratch,allow customization,,,countertops and architectural installations
architectural glass,adapt design,create aesthetic solutions,produce security glass,,,,elevations and shop doors
architectural mesh,create mesh,reflect light,weave patterns,,,,architectural facade cladding
architectural metals,altering surface,casting patterns,cutting panels,,,,custom metal architectural panels
architectural sheets,provide strength,offer durability,enhance aesthetics,ensure low maintenance,,,interior wall cladding panels
architectural titanium,resist corrosion,restore oxide film,reduce weight,permit fabrication,provide durability,offer variety of finishes,facade cladding for buildings
architextile,create wall covering,provide acoustic performance,serve as dividing screen,act as autonomous interior object,,,high tech acoustic wall covering
ardomix,incorporate pebbles,cast resin,provide smooth surface,reinforce aesthetic appearance,allow cutting,,backlit wall tiles for decoration
arfinio,enable seamless surfaces,create complex shapes,provide lightweight materials,offer non slip properties,ensure easy cleaning,allow customization,shower plates and wash basins
ariel 4311,provide fireproof,offer colourful,enable upholstery,allow decoration,,,luxury upholstery textile
armourcast,create cast designs,reduce surface absorbency,provide resistance against dirt,,,,three dimensional stone like panels
aroma aq,incorporate naturals,compound stability,screen printing textiles,provide aroma,,,scented ink for textile printing
arpex epe,provide cushioning,offer versatility,,,,,floor underlayment
arpro p epp,provide impact resistance,offer fire retardancy,resist moisture,allow easy cleaning,,,washable wall panels for humid environments
arpro,provide acoustical performance,resist fire,resist water,allow painting,enable lightweight construction,,acoustical ceiling and wall panels
arrigado,create partition,provide lighting,serve as art wall,,,,textured dividing wall
arstyl,provide insulation,create decorative surfaces,allow customization,,,,3d wall decoration panels
art ferro,provide gloss,mimic metal texture,apply seamlessly,,,,interior wall and ceiling finish
art intervention,create tile,support interiors,invite collaboration,,,,carpet tile collection for office spaces
art on tiles,bake tile,print pattern,handcraft tile,,,,decorative wall tiles with custom motifs
art panel,provide aesthetic,create personalized designs,facilitate assembly,offer weather resistance,,,customized wall cladding panels
artile,apply image,encapsulate design,resist fade,resist uv,,,photographic swimming pool tiles
artos,provide novel appearance,resist corrosion,form design,cover wall elements,flexible structure,,suspended ceiling and wall coverings
artstone,resemble natural stone,eliminate painting,resist uv,resist water,withstand temperature changes,,exterior wall panels
asian canvas,reflect light,design interior,coat wall,,,,textured wall coating for interior design
astrale,create texture,enhance aesthetics,resist scratch,,,,decorative wall tiles
atelier barb bio series,create non edible parts,bind natural binders,craft functional art objects,design sustainable surfaces,,,tableware made from organic materials
atelier collection,customizable colour,customizable style,dyed veneer,,,,customized furniture surfaces
atex colour,provide strength,offer flexibility,resist fire,reflect light,stabilize uv exposure,,stage and façade covers
atex screen,impregnate silicone resin,resist fire,generate smoke,,,,internal liner for airports and stadiums
atex,reinforce materials,coat fabric,create structures,,,,lightweight membrane structures
atlantique,create novel product,match style,resist uv,resist water,allow easy cleaning,,custom outdoor flooring for terraces and swimming pools
atmospheric wood,transform wood,reproduce drawings,create patterns,,,,architectural blueprints with blue hues
attraction,provide durability,facilitate maintenance,allow fitting without adhesives,offer antibacterial properties,,,anti static floor tiles for computer rooms
aurea,provide flame retardancy,enable cleanability,allow elastic fitting,offer waterproofing,resist mechanical tractions,,upholstered furniture with leather effect surface
autarchy,produce vessels,produce lamps,provide durability,,,,functional vessels and lamps
autoheal,adhere bond,self heal,seal form,weld join,,,self healing adhesive tape
automatic serendpt,question design,represent patterns,print abstract,,,,textile scarves with abstract patterns
avocado seed bricks,transform waste,create bricks,bind materials,shape structures,,,lightweight structural bricks for eco conscious architecture
avonite glass series,cast sheets,thermoformed shapes,replenished surface,resistant chemicals,resistant stains,,backlit service counters
avonite petals series,create sheets,thermoform shapes,resist stains,allow seamless jointing,,,washroom and service counters
avonite recycled acrylic series,create seamless jointing,resist chemical stains,thermoform sheets,replenish surface,,,washroom and reception counters
avonite,create granite effect,create metallic effect,thermoform shape,resist chemical,resist stain,,washroom work surfaces
awakyuki melting snow,create light effects,add warm ambiance,reinforce durability,,,,window shades and screens
ayrlite sonium,reduce noise,improve acoustic quality,absorb sound,,,,soundproof enclosures and wall absorbers
b clear,allow light,ensure privacy,integrate leds,provide durability,apply slip resistance,,translucent partition wall panels
b cork,coating breathable,coating natural,delivering soft touch,,,,breathable textile for clothing
baby merino,spin yarn,dye fiber,knit fabric,felt material,,,hand knitted garments for infants
backlight images,preserve images,illuminate reliefs,design displays,advertise logos,,,3 dimensional photographic display system
bacterial cellulose,exhibit tensile strength,offer substitute for plastic,be dyed,be shaped in multiple textures,,,textile like materials for sustainable fashion
bahia,create mosaic,decorate wall,cover surface,,,,indoor decorative wall covering
balsa platte lightwood b1,provide fire retardance,combine pressure resistance,allow surface processes,,,,large size wall and ceiling panels
balsaboard lightwood,guarantee compressive strength,provide low weight,support sandwich construction,,,,lightweight sandwich panels for furniture
balsaconcrete,reduce weight,provide impact resistance,allow customization,,,,lightweight kitchen countertop
balsatec,provide insulation,resist moisture,resist thermal transfer,resist fatigue,,,thermal and sound insulation panels
bamboo elite premium,provide stability,enhance aesthetics,offer durability,enable floating installation,,,wide plank flooring for residential and commercial use
bamboo fibres,replace oil based raw materials,grow locally,compete mechanical properties,,,,biobased paint and composite materials
bamboo mosaic,decorate wall,cover surface,design furniture,,,,wall covering in bathrooms
bamboo panels,cut panel,dye panel,smoke panel,fireproof panel,mount panel,,interior wall cladding
bamboo ultradensity heavy duty flooring,provide durability,offer ecological solution,meet performance standards,,,,heavy duty flooring for high traffic areas
bamboo veneer,bonded veneer,manufacture veneer,overlay plywood,soften material,air dried,,decorative plywood overlay
banana fibre hemp jute carpet,provide texture rugs,absorb moisture,offer eco friendliness,,,,hand knotted high end rugs
banana fibre paper,create paper,fuse fibres,provide lightweight material,offer tear resistance,enable biodegradability,,sustainable packaging for consumer products
bananatex,provide durability,enhance biodiversity,contribute reforestation,offer waterproofing,,,durable technical fabric for outdoor gear
baq,resist chemicals,repel moisture,protect noise,resist fire,ensure colour fastness,,exterior wall cladding panels
barbara steinmann,handcrafted tiles,baked tiles,printed patterns,painted motifs,,,decorative wall and floor tiles
barcode,create tile,fuse glass,design structure,,,,decorative glass tiles for interior walls
bark cloth,provide insulation,offer aesthetic appeal,resist stains,allow light passage,enable customization,,laminated wall covering
bark,protective cladding,natural aesthetic,,,,,interior and facade cladding panels
barkcloth hpl,provide decorative surface,offer unique texture,enhance interior aesthetics,,,,high quality wall and ceiling panels
barktex,harvest noun,combine noun,mould verb,provide verb,contribute verb,,lightweight door interior trim
barlo cast design,resist stains,filter light,retain texture,combine wood,combine metal,,interior design elements and showcases
barlo spc diamond,provide non yellowing,support loading,reflect infrared radiation,transmit light,insulate thermal,,conservatory roofing
barnwood,recover noun,cover noun,floor noun,,,,weathered wood wall paneling
barracuda aluminized fabric,combine noun,coat noun,mold noun,emulate noun,resist noun,,fire resistant decorative fabric for helmets
barricada,provide barrier,allow breathability,,,,,surgical gowns and drapes
barrique boden,provide nature,create color,strengthen surface,,,,parquet flooring from wine barrels
barrisol biosource,facilitate recycling,achieve sustainability,integrate production circuit,,,,recyclable membrane for interior design
barrisol clim,provide comfort,save energy,integrate acoustics,allow personalization,,,energy efficient air conditioning system
barrisol,create ceilings,provide fire resistance,ensure air quality,,,,stretch ceiling systems
basalt tiles,provide durability,offer aesthetic appeal,resist chemical agents,facilitate easy maintenance,support heavy loads,,industrial flooring tiles for heavy duty environments
basalt woven textile,provide tensile strength,offer chemical resistance,insulate against heat,serve as electric insulator,,,electric insulating materials for high voltage equipment
base superbo,transform noun,colour verb,layer verb,cut verb,combine verb,,decorative interior panels with glass composite
baswa acoustic plaster,absorb sound,reduce reverberation,provide aesthetic,,,,acoustic ceiling finish
baubuche beam,allow production,create beams,show hardwood surface,bond strips,,,slim structural beams for large spans
bauxite residue ceramics,transform ceramic bodies,create glazes,fit architectural use,,,,ceramic tiles for building facades
bcomp textile,fabrication eco superior products,providing architectural textile alternative,,,,,natural fibre composite architectural panels
bcore,provide shear strength,offer fatigue strength,combine low density veneers,,,,lightweight ski core material
beadazzled,reflect light,create surfaces,allow customization,,,,flexible wallcovering for interior design
bealstone,combine durability,provide water resistance,enable customisation,resist moisture,resist stains,ensure easy maintenance,seamless flooring and wall finishes
beaufort,provide strength,resist uv,resist water,offer comfort,allow cleaning,,high tenacity polyester loop pile carpet
bee bo,covering noun,adapting noun,contributing noun,recycling noun,,,architectural interior profiles for wall and ceiling coverings
beeboard,withstand heavy loads,provide protective capacity,reduce disposal costs,,,,transport packaging for heavy loads
beeksteen,reduce co2 emissions,provide ecological benefits,provide economic benefits,provide social benefits,,,facing walls for buildings
beetlecrete mpbwc,provide moisture resistance,offer fire resistance,allow easy cutting,enable shaping with molds,,,lightweight structural panels for construction
bekaert bekinox vn,conduct electricity,resist heat,transfer signals,provide flexibility,enable durability,,electrically conductive textile for heating
bekaert quench products,combine heat resistance,combine mechanical durability,combine air permeability,provide softness,,,covering material for quench rings in automotive glass
beleaf,provide comfort,offer resistance,reduce carbon footprint,preserve environment,,,vegan leather alternative for fashion accessories
belgian linen,weave fabric,produce accessories,add touch,,,,high end linen textile accessories
belin,offer nature,adapt temperature,elevate space,,,,sustainable window curtains
belle naturelle,provide insulation,absorb sound,create wall coverings,enhance aesthetics,,,acoustic wall coverings
belpasso premio cleantop,protect structure,repel dirt,reduce cleaning,,,,moisture resistant concrete surface
belt,cut tile,assemble tile,fire tile,produce color,,,fused glass tile for borders and chair rail
beltwalk,absorb nature,insulate heat,insulate sound,wrap structures,repair easily,,column and wall wrapping material
benchmark,make watertight,guarantee structural safety,ensure fire resistance,transform appearance,,,insulated building façade panel
bendywood,bend wood,compress wood,dry wood,,,,bent wooden handrails
bera gravel fix,provide stable base,reduce root crack,ensure efficient drainage,,,,gravel stabilization system for driveways
berriestex made from strawberries,offer alternative,become durable,become flexible,become sewable,,,vegan luxury handbags
bese elements,provide stability,offer protection,support adhesion,create structure,enable modular assembly,,biodegradable mats for nature restoration
bespoke 3d leather,sculpting artwork,engraving patterns,embossing texture,,,,bespoke leather wall tiles
bestfelt,provide sound absorption,reduce ambient noise,support regional agricultural supply chains,,,,interior wall coverings and spatial dividers
béton picturale,transfer image,create relief,customize artwork,,,,facade artwork for buildings
betonada rust,protect noun,seal noun,apply noun,finish noun,,,decorative wall cladding
betonlook paint,give concrete look,allow breathing,absorb co2,,,,ecological wall coating for damp areas
bia metallic,create sustainable surface,provide heat conductivity,enhance aesthetic appeal,,,,metallized concrete facade panels
bianni wool paper,transform noun,preserve noun,reintroduce noun,,,,handmade paper products
bicicleta rug,create nontraditional carpet,reduce waste rubber,provide soft texture,allow looped pile,,,recycled carpet for residential use
big mesh,create textile,provide lightweight,offer translucence,,,,lightweight mesh fabric for clothing
bio amicofitex,provide bacterial protection,provide fungal protection,apply antimicrobial coatings,,,,sportswear with antimicrobial properties
bio construct,provide insulation,offer fire resistance,reduce weight,enhance sustainability,,,building material for sustainable structures
bio flex,replace conventional materials,convert film,maintain tensile strength,,,,thin film packaging for bioplastics
bio glass,recycle noun,reduce noun,decorate noun,,,,counter or worktops
bio laminates,modify fibers,upgrade resources,replace synthetics,enhance fibers,,,biodegradable packaging materials
bio luminum,provide strength,offer durability,enable sustainability,,,,high traffic flooring tiles
bio pigments atelier,create paints,lock pigments,force painting,,,,bioplastic based painting medium
bio receptive 3d printed ceramics,filter air pollutants,improve air quality,release oxygen,dampen sound,retain humidity,reduce thermal fluctuations,living wall system for interior and exterior spaces
bio siptm,sequester co2 emissions,integrate insulation,provide structural integrity,offer weather resistance,ensure airtightness,facilitate assembly,sustainable modular building system
biobased sip building system,replace timber,support circular construction,reduce co2 footprint,provide structural strength,enable reuse,,modular prefab building system for walls and roofs
biobasedtile,reduce carbon footprint,grow tile,strengthen material,lighten weight,,,interior and exterior flooring tiles
bioblocks,absorb excess moisture,retain excess moisture,regulate interior climate,provide sustainable construction,,,earth retaining structures for noise barriers
biocaif,promote sustainability,reduce waste,provide biodegradability,,,,biodegradable coffee cup and lid
biochar cob,improve soil,store carbon,construct shelters,,,,habitable spaces from organic waste
