node,label,category
natural raw materials,natural raw materials,source
goatskin,goatskin,source
root,root,source
aerogel,aerogel,source
urethane,urethane,source
sugarcane bagasse,sugarcane bagasse,source
post-consumer plastic waste,post-consumer plastic waste,source
olive pomace,olive pomace,source
glass fiber,glass fiber,source
optical fibres,optical fibres,source
polyamide fibers,polyamide fibers,source
washi,washi,source
coconut husks fibre,coconut husks fibre,source
scandinavian softwood,scandinavian softwood,source
marine plywood,marine plywood,source
natural materials,natural materials,source
balsa,balsa,source
wool fat,wool fat,source
polyolefin plastics,polyolefin plastics,source
metal panel,metal panel,source
stoneware clay,stoneware clay,source
aluminium,aluminium,source
titanium oxide,titanium oxide,source
pvc/pu,pvc/pu,source
rice straw,rice straw,source
thermoplastic polymer,thermoplastic polymer,source
wood wool,wood wool,source
optical fibre fabric,optical fibre fabric,source
zinc,zinc,source
plant-based foam,plant-based foam,source
epoxy transparent resin,epoxy transparent resin,source
microcement,microcement,source
polymers,polymers,source
conducting material,conducting material,source
textile fibres,textile fibres,source
rice husk,rice husk,source
hides,hides,source
synthetic film,synthetic film,source
metal waste,metal waste,source
agro-fibre thermoset composites,agro-fibre thermoset composites,source
hulls of peach and apricot kernels,hulls of peach and apricot kernels,source
co-polyester,co-polyester,source
cornflower petals,cornflower petals,source
recycled wood,recycled wood,source
flax oil,flax oil,source
cement,cement,source
miscanthus plant fibres,miscanthus plant fibres,source
recycled pvc,recycled pvc,source
cotton and wool,cotton and wool,source
fibre cement,fibre cement,source
acacia wood,acacia wood,source
algae knit,algae knit,source
biocement,biocement,source
calcium carbonate,calcium carbonate,source
pine needle material,pine needle material,source
rye grass straw,rye grass straw,source
polyurethane gel,polyurethane gel,source
colback,colback,source
plant residues,plant residues,source
curvcor,curvcor,source
pmma,pmma,source
nano technology,nano technology,source
biodegradable glass fibre,biodegradable glass fibre,source
oak,oak,source
cambium,cambium,source
polyester microfibre,polyester microfibre,source
eggshell bioceramic,eggshell bioceramic,source
recycled glass,recycled glass,source
solution-dyed yarn,solution-dyed yarn,source
pvc and glass fibres,pvc and glass fibres,source
rust,rust,source
bricks,bricks,source
iron particles,iron particles,source
apple pomace,apple pomace,source
recycled denim,recycled denim,source
wool with cashmere,wool with cashmere,source
copolyester,copolyester,source
high impact polystyrene,high impact polystyrene,source
amadou,amadou,source
horsehair,horsehair,source
ramie fibre,ramie fibre,source
recycled polypropylene,recycled polypropylene,source
pa 6.6 monofibre,pa 6.6 monofibre,source
teak,teak,source
trevira cs polyester,trevira cs polyester,source
felt,felt,source
metal fabric,metal fabric,source
coir fibers,coir fibers,source
paper yarn,paper yarn,source
egg bioplastic,egg bioplastic,source
polymorph,polymorph,source
aluminium composite panel,aluminium composite panel,source
flax fleece,flax fleece,source
mineral fibre,mineral fibre,source
recycled sawmill waste,recycled sawmill waste,source
natural fibres,natural fibres,source
seagrass,seagrass,source
belgian blue stone,belgian blue stone,source
organic side-streams,organic side-streams,source
pha,pha,source
coating,coating,source
expanded rigid pvc,expanded rigid pvc,source
bacterial biomass,bacterial biomass,source
laminated veneer lumber,laminated veneer lumber,source
natural freshwater pearls,natural freshwater pearls,source
industrial waste,industrial waste,source
granito/terrazzo,granito/terrazzo,source
marble powder,marble powder,source
wood dust,wood dust,source
pp panels,pp panels,source
biopolymer,biopolymer,source
polyester pvc coated mesh,polyester pvc coated mesh,source
lime putty,lime putty,source
epoxy-based product,epoxy-based product,source
linoleum,linoleum,source
wood-grain veneer,wood-grain veneer,source
mycelium composite,mycelium composite,source
recycled aggregate,recycled aggregate,source
foam coating,foam coating,source
acrylic sheets,acrylic sheets,source
cocoa,cocoa,source
alluvial clay,alluvial clay,source
textile and cotton fibres,textile and cotton fibres,source
ceramic waste,ceramic waste,source
natural wool,natural wool,source
metal infused polymers,metal infused polymers,source
recycled plastic waste,recycled plastic waste,source
fireproof fabric,fireproof fabric,source
plastic waste,plastic waste,source
mdf board,mdf board,source
gel,gel,source
recycled material,recycled material,source
cabbage,cabbage,source
fluoropolymer,fluoropolymer,source
hemp fiber,hemp fiber,source
sheep wool,sheep wool,source
plant fibers,plant fibers,source
jute,jute,source
slaked lime,slaked lime,source
recycled plastic and natural materials,recycled plastic and natural materials,source
polyester-epoxy mixed powder coating,polyester-epoxy mixed powder coating,source
recycled paper-products,recycled paper-products,source
palmleather,palmleather,source
corundum,corundum,source
expanded polypropylene,expanded polypropylene,source
low-carbon steel,low-carbon steel,source
starch-based biopolymer,starch-based biopolymer,source
corn husk fibres,corn husk fibres,source
recycled paper,recycled paper,source
pu,pu,source
linen,linen,source
bioplastic,bioplastic,source
trevira cs fibres,trevira cs fibres,source
osb,osb,source
electroluminescence,electroluminescence,source
aluminium composite panels,aluminium composite panels,source
sorghum stalks,sorghum stalks,source
drop paper,drop paper,source
foam,foam,source
polyolefin materials,polyolefin materials,source
woven yarn,woven yarn,source
natural fibre,natural fibre,source
poly fabric,poly fabric,source
gypsum fibre boards,gypsum fibre boards,source
cork fabric,cork fabric,source
lexan,lexan,source
polyurethane polymer,polyurethane polymer,source
recycled polyethylene,recycled polyethylene,source
insulation,insulation,source
metal salts,metal salts,source
stucco,stucco,source
quartzite,quartzite,source
synthetic yarns,synthetic yarns,source
synthetic board,synthetic board,source
organic waste,organic waste,source
flexible sheet material,flexible sheet material,source
polyamide fabric,polyamide fabric,source
cast glass,cast glass,source
linen/wool blend,linen/wool blend,source
avocado seeds,avocado seeds,source
mica,mica,source
thermosetting resins,thermosetting resins,source
cotton mesh,cotton mesh,source
palmwood,palmwood,source
macadamia nut shells,macadamia nut shells,source
non-woven material,non-woven material,source
high polymer bitumen,high polymer bitumen,source
coconut fibre,coconut fibre,source
rice husk composite,rice husk composite,source
cement chipwood panel,cement chipwood panel,source
stainless steel wire mesh,stainless steel wire mesh,source
pes tervira cs,pes tervira cs,source
recycled material panel,recycled material panel,source
granulate,granulate,source
bamboo plywood,bamboo plywood,source
loam plaster,loam plaster,source
vinyl film,vinyl film,source
banana fibres,banana fibres,source
magnesium alloy,magnesium alloy,source
acrylic-plaster mixture,acrylic-plaster mixture,source
cementitious concrete,cementitious concrete,source
wood granules,wood granules,source
aluminium composite sheet,aluminium composite sheet,source
crushed limestone,crushed limestone,source
larch wood,larch wood,source
nylon fibers,nylon fibers,source
porcelain,porcelain,source
seafood waste,seafood waste,source
castor oil,castor oil,source
starch,starch,source
metal stucco,metal stucco,source
recycled waste glass and ceramics,recycled waste glass and ceramics,source
foil,foil,source
acrylic glass,acrylic glass,source
conductive fabric,conductive fabric,source
pur-foam,pur-foam,source
fruits,fruits,source
photopolymers,photopolymers,source
crystal mesh,crystal mesh,source
micro-paper,micro-paper,source
glass fibre fabric,glass fibre fabric,source
organic photovoltaic,organic photovoltaic,source
metal mesh,metal mesh,source
zinc alloy,zinc alloy,source
nickel-phosphorous layer,nickel-phosphorous layer,source
wood-pvc composite,wood-pvc composite,source
crushed white marble,crushed white marble,source
natural dyes,natural dyes,source
bitumen-polymer matrix,bitumen-polymer matrix,source
plant-based paint,plant-based paint,source
woolfelt,woolfelt,source
persimmon waste,persimmon waste,source
cowhide,cowhide,source
recycled tennis balls,recycled tennis balls,source
linseed oil,linseed oil,source
lava,lava,source
seaweed,seaweed,source
bio-material,bio-material,source
metal surfaces,metal surfaces,source
expired meat,expired meat,source
wood,wood,source
agri-food by-products,agri-food by-products,source
salmon skin,salmon skin,source
waste glazes,waste glazes,source
fish leather,fish leather,source
reclaimed fibres,reclaimed fibres,source
stone strips,stone strips,source
textile substrate,textile substrate,source
debris flows,debris flows,source
wood paper,wood paper,source
strontium aluminates pigment,strontium aluminates pigment,source
nylon,nylon,source
biobased wall paint,biobased wall paint,source
solid wood,solid wood,source
mohair,mohair,source
recycled textile or natural fibres,recycled textile or natural fibres,source
wood ash,wood ash,source
copolyester ethers,copolyester ethers,source
polyamide fibres,polyamide fibres,source
wallpaper,wallpaper,source
grass cellulose fibres,grass cellulose fibres,source
polymethylmethacrylate,polymethylmethacrylate,source
leather scraps,leather scraps,source
bark cloth,bark cloth,source
vegetable-based plasticizer,vegetable-based plasticizer,source
photochromic materials,photochromic materials,source
fiber,fiber,source
sound absorbing foam,sound absorbing foam,source
glass fibre-reinforced plastic,glass fibre-reinforced plastic,source
bacterial cellulose,bacterial cellulose,source
fungus,fungus,source
pine needles,pine needles,source
dacryl,dacryl,source
bio-composite board,bio-composite board,source
leek waste,leek waste,source
human hair,human hair,source
fluorescent plastics,fluorescent plastics,source
recycled wall paint,recycled wall paint,source
thermoplastic panel,thermoplastic panel,source
mr fluid,mr fluid,source
gel polymer,gel polymer,source
ceramic brick,ceramic brick,source
liana,liana,source
stainless steel,stainless steel,source
metallised surface,metallised surface,source
porcelain ceramic,porcelain ceramic,source
biological secondary components,biological secondary components,source
binder,binder,source
denim,denim,source
fiber optics,fiber optics,source
discarded plastics,discarded plastics,source
bacterial dye,bacterial dye,source
polymer,polymer,source
fruit and vegetable slices,fruit and vegetable slices,source
pet (polyester) fibres,pet (polyester) fibres,source
snail excrements,snail excrements,source
coffee grounds,coffee grounds,source
natural resin,natural resin,source
silicone,silicone,source
acoustic wool,acoustic wool,source
vegetables,vegetables,source
biobased heat-shrink film,biobased heat-shrink film,source
digital printing,digital printing,source
japanese knotweed,japanese knotweed,source
photo-luminescent pigment,photo-luminescent pigment,source
carbo e therm,carbo e therm,source
cactus,cactus,source
birch,birch,source
thermoplastic,thermoplastic,source
polymeric monofilaments,polymeric monofilaments,source
recycled paper composite,recycled paper composite,source
urine,urine,source
bottom ash,bottom ash,source
bristle,bristle,source
polystyrene,polystyrene,source
pvc compound,pvc compound,source
polymer sheet,polymer sheet,source
white cement,white cement,source
herbal biomaterials,herbal biomaterials,source
hpl panels,hpl panels,source
metallic materials,metallic materials,source
petg,petg,source
polyurethane foam dust,polyurethane foam dust,source
wool felt,wool felt,source
recycled polystyrene,recycled polystyrene,source
potato starch,potato starch,source
polyamid fibres,polyamid fibres,source
low density polyethylene and ethylene-vinylacetate copolymers,low density polyethylene and ethylene-vinylacetate copolymers,source
recycled mineral waste,recycled mineral waste,source
citrus textile,citrus textile,source
fluorescent dyes,fluorescent dyes,source
sensor,sensor,source
ecological resin,ecological resin,source
triangular steel,triangular steel,source
clay mortar,clay mortar,source
polymer concrete,polymer concrete,source
timber,timber,source
copper foil,copper foil,source
kapok fibre,kapok fibre,source
dyed wood fibre,dyed wood fibre,source
lignocellulosic natural fibres,lignocellulosic natural fibres,source
ostrich feathers,ostrich feathers,source
eelgrass,eelgrass,source
basalt,basalt,source
aluminium honeycomb,aluminium honeycomb,source
recycled acacia wood,recycled acacia wood,source
dichroic film,dichroic film,source
hard wood composite,hard wood composite,source
bronze,bronze,source
pvc fabric,pvc fabric,source
biobased adhesive,biobased adhesive,source
activated carbon,activated carbon,source
recycled kraft paper,recycled kraft paper,source
trout skin,trout skin,source
organic refuse biocompound,organic refuse biocompound,source
biobased and biodegradable packaging foil,biobased and biodegradable packaging foil,source
hemp lime plaster,hemp lime plaster,source
upcycled waste fibres,upcycled waste fibres,source
rattan,rattan,source
jesmonite,jesmonite,source
mineral raw materials,mineral raw materials,source
polyurethane,polyurethane,source
moso bamboo,moso bamboo,source
ceramic glass,ceramic glass,source
silicone gel,silicone gel,source
mineral fillers,mineral fillers,source
shape memory polymers,shape memory polymers,source
fabrics,fabrics,source
thermoplastic polyurethane,thermoplastic polyurethane,source
laminated wood,laminated wood,source
ldpe film,ldpe film,source
cork and linen,cork and linen,source
abs,abs,source
rubber,rubber,source
polyolefin,polyolefin,source
calfskin,calfskin,source
conductive tape,conductive tape,source
pinus sylvestris,pinus sylvestris,source
polyester fibres,polyester fibres,source
biotextile,biotextile,source
modified copolymer etfe,modified copolymer etfe,source
thermoplastic materials,thermoplastic materials,source
slate,slate,source
polyester yarns,polyester yarns,source
solar panels,solar panels,source
polymer resin,polymer resin,source
cuncha nasu shell,cuncha nasu shell,source
recycled felt,recycled felt,source
typha,typha,source
silk/mohair,silk/mohair,source
polymer yarn,polymer yarn,source
natural stones,natural stones,source
graphene,graphene,source
cellulose fibers,cellulose fibers,source
acrylic-based filler,acrylic-based filler,source
aluminium honeycomb core,aluminium honeycomb core,source
inox yarn,inox yarn,source
wood-polymer composite,wood-polymer composite,source
natural hydraulic lime,natural hydraulic lime,source
oil,oil,source
medium density fibreboard,medium density fibreboard,source
electrolycra,electrolycra,source
hips filament,hips filament,source
metal-platelet,metal-platelet,source
ceramic fibers,ceramic fibers,source
eva foam,eva foam,source
modified polyurethanes,modified polyurethanes,source
glazed ceramic,glazed ceramic,source
organic coated steel,organic coated steel,source
composite veneer,composite veneer,source
polyphenylsulphone,polyphenylsulphone,source
plaster,plaster,source
polyurethane membrane,polyurethane membrane,source
lignin,lignin,source
polycarbonate resins,polycarbonate resins,source
synthetic materials,synthetic materials,source
construction debris,construction debris,source
metal film,metal film,source
copper slag,copper slag,source
biodegradable natural fiber reinforced compounds,biodegradable natural fiber reinforced compounds,source
resins,resins,source
crystal glass,crystal glass,source
miscanthus plant fibers,miscanthus plant fibers,source
cotton agricultural waste,cotton agricultural waste,source
rubber foam,rubber foam,source
cellulosic plastic,cellulosic plastic,source
syntactic foam,syntactic foam,source
milk proteins,milk proteins,source
mineral wool,mineral wool,source
naia,naia,source
cordura,cordura,source
iron corten,iron corten,source
cypress fibre,cypress fibre,source
pampas grass,pampas grass,source
textile glass,textile glass,source
natural insulating board,natural insulating board,source
cork composite,cork composite,source
elastic formliner,elastic formliner,source
thermoplastic powder coatings,thermoplastic powder coatings,source
conducting polymers,conducting polymers,source
lightweight concrete,lightweight concrete,source
paper and thermosetting resins,paper and thermosetting resins,source
recycled leather,recycled leather,source
silver,silver,source
haptic 2.5d printing,haptic 2.5d printing,source
stonedust,stonedust,source
calf and cow skins,calf and cow skins,source
metalised polyester,metalised polyester,source
glassfibre concrete,glassfibre concrete,source
amber dust,amber dust,source
recycled plastic bottle caps,recycled plastic bottle caps,source
eggshells,eggshells,source
recycled brass and aluminum,recycled brass and aluminum,source
pressed mineral wool panel,pressed mineral wool panel,source
virgin fibres,virgin fibres,source
polyester fibre,polyester fibre,source
sbs bitumen,sbs bitumen,source
flax fibre composites,flax fibre composites,source
textile,textile,source
recycled rubber,recycled rubber,source
printed electronics,printed electronics,source
pvb interlayers,pvb interlayers,source
composite stone,composite stone,source
pvc-compound,pvc-compound,source
thermochromic colorcomp,thermochromic colorcomp,source
powder coatings,powder coatings,source
low-density polyethylene,low-density polyethylene,source
mahogany bark,mahogany bark,source
cobalt alloy,cobalt alloy,source
cellulose fibres,cellulose fibres,source
wheat stalk,wheat stalk,source
thermoharder plastics,thermoharder plastics,source
flexible material,flexible material,source
ceramic glaze,ceramic glaze,source
superabsorbent polymers,superabsorbent polymers,source
water-based finishes,water-based finishes,source
polymer fibres,polymer fibres,source
synthetic dough,synthetic dough,source
non-woven fabric,non-woven fabric,source
balsa wood,balsa wood,source
lenticular lenses,lenticular lenses,source
sugarcane fibres,sugarcane fibres,source
lacquer,lacquer,source
cashmere wool,cashmere wool,source
aramid fibers,aramid fibers,source
viscose,viscose,source
crystal,crystal,source
recycled construction and demolition waste,recycled construction and demolition waste,source
cellulose wood pulp,cellulose wood pulp,source
bioplastics,bioplastics,source
pet foil,pet foil,source
natural nettle fibre,natural nettle fibre,source
abacá banana plants,abacá banana plants,source
enameled steel,enameled steel,source
aggregate material,aggregate material,source
pvb films,pvb films,source
metal meshes,metal meshes,source
polyester resin,polyester resin,source
cardboard,cardboard,source
polyethylene foam,polyethylene foam,source
titanium zinc,titanium zinc,source
cast acrylic,cast acrylic,source
kelp algae,kelp algae,source
softwood,softwood,source
virgin wool,virgin wool,source
strawberries,strawberries,source
kenaf fibres,kenaf fibres,source
biochar,biochar,source
wire mesh,wire mesh,source
transparent conductive coating,transparent conductive coating,source
mineral residue,mineral residue,source
wood chips,wood chips,source
silkworm cocoons,silkworm cocoons,source
geocomposite geogrid-geotextile,geocomposite geogrid-geotextile,source
fibres,fibres,source
biocomposite,biocomposite,source
silica aerogel,silica aerogel,source
glass microspheres,glass microspheres,source
plastic sequins,plastic sequins,source
woolen felt,woolen felt,source
polyamide crincle,polyamide crincle,source
filament insulation,filament insulation,source
soybean protein,soybean protein,source
corrugated panel,corrugated panel,source
teak wood,teak wood,source
textile fabric,textile fabric,source
pet film,pet film,source
visco-elastic foam,visco-elastic foam,source
marble,marble,source
acrylic foam,acrylic foam,source
granite quartz,granite quartz,source
lupine fibreboard,lupine fibreboard,source
valchromat mdf,valchromat mdf,source
eggshell,eggshell,source
dyes and pigments,dyes and pigments,source
concrete,concrete,source
spruce,spruce,source
pvc,pvc,source
typha fibre,typha fibre,source
cow leather,cow leather,source
sisal,sisal,source
almond shells,almond shells,source
e-glass,e-glass,source
cotto and lava stone,cotto and lava stone,source
decorative metals,decorative metals,source
veneered panel,veneered panel,source
sturgeon leather,sturgeon leather,source
carbon fabric,carbon fabric,source
aluminum and stainless steel,aluminum and stainless steel,source
plywood,plywood,source
metal iron,metal iron,source
london clay,london clay,source
synthetic fibers,synthetic fibers,source
waste gum,waste gum,source
cast iron,cast iron,source
granite,granite,source
phenol-aldehyde fibres,phenol-aldehyde fibres,source
cocowood,cocowood,source
agrifood waste,agrifood waste,source
olivine,olivine,source
marble pebbles,marble pebbles,source
glass-fibre yarns,glass-fibre yarns,source
pine wood,pine wood,source
keratine,keratine,source
effect pigments,effect pigments,source
vinyl,vinyl,source
polypropylene spunbond,polypropylene spunbond,source
pine needle textile,pine needle textile,source
ceramic material,ceramic material,source
flax or kozo fibres,flax or kozo fibres,source
recycled textile felt,recycled textile felt,source
bio-plastic,bio-plastic,source
led,led,source
recycled polymer biocomposites,recycled polymer biocomposites,source
spandex,spandex,source
organic semiconductors,organic semiconductors,source
recycled wood chips,recycled wood chips,source
recycled mixed textiles,recycled mixed textiles,source
wire cloth,wire cloth,source
